,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
vm3,-0.15361302155593054,-0.6424192597237924,0.15349458853953465,1.2888114085795883,0.320997642647507,0.31981609254627086,-0.7482208452456803,1.3678783541171142,-0.5005007512521914,1.9320182508275388,0.38696978374470853,0.010370074493179244,-0.1879082303983461,-0.24828176658071227,-0.40697150027501944,-0.4572806689009701,-1.2524564171191248,-0.8718744099200432,-0.10262937631601542,-0.7402885539705786,-1.1316288298888786,0.6380104335941733,-0.6918590948290108,-0.4596146701546237,-0.8569869005079055,-0.8734166796267645,1.6800578808678945,-0.7970138171797937,0.0,0.35890328001332306,0.74722038417348,0.7845915825380132,-0.8707017542205828,0.05771992313008899,-0.6425956214439861,-0.7824549410347431,-0.6833153564820583,-0.5700692492430961,1.081931159255457,-0.7808305968715229,-0.7979037118567783,-0.6726915834767461,-0.41424679377734286,-0.6995733220619933,-0.775427151039923,-0.5994973287539505,0.6972453170441997,0.19936641290812665,-0.8469878672549276,-0.7157070552725724,-0.65007039900716
dl2v,-0.6424192597237924,-0.0707670776075121,-0.9930437363676129,-0.5528251553045559,-0.5672287665927943,-0.9073920465121265,0.47306609026740776,-0.5466316630505967,-0.5175218286277233,-0.7798062089597202,1.473675726485261,0.8872666641335254,-0.1728181628323158,2.8931004278099453,-0.4611362208023202,1.8649977780174969,-1.2696658540743126,1.4126021695514708,-0.08149845750118834,0.5086427714588153,-0.24668454298140458,1.9620551785725457,-0.6332698189295147,-0.491488182565623,-0.8405203121152017,0.2997429343419666,-0.8497459111262783,1.68937260680961,0.0,0.1966481674406094,0.6548654573495793,-0.19711713131212769,1.2013494889267453,-1.0036187614148329,2.2246360251624084,-0.8393964046657693,-0.656973305219456,-0.6181773420358173,-0.9719010809698799,-0.7528411358800399,2.8115089879975246,0.7421303695356322,-0.4482582576155335,-0.7125027488585001,-0.8101457721828531,-0.609797350161018,0.5086832560663672,2.36018308591284,-0.8540284928716609,-0.7567574388067136,-0.7101305967245773
va2,0.15349458853953465,-0.9930437363676129,0.04446644110478422,3.0800911550284624,1.804506469649975,1.1044061308752329,-1.1820026182143755,-0.7785933248303745,1.9342312944561182,2.2102555600127736,1.1305731281917801,0.3638078591644893,-0.3206701227966127,-0.4127396662482428,-0.6342313000379586,-0.6062758153585588,0.24955480232602648,-0.5164898808566317,-0.9292557966886423,-0.30768051760527215,-1.0737266217207648,-0.2079620273742796,-0.9376704091987464,-0.727070286942705,0.29533939740632775,2.5814449076399772,-0.34481032409948253,-0.28245192724054974,0.0,0.983020426759914,-1.1151464627421563,-0.39133033859853916,-0.565165497175282,1.4589062378914501,1.134196843879377,0.4954405261150929,1.0650050556115234,0.3106400000967131,0.5795572418427426,-0.2729442568277324,-1.2252959705149322,-0.029114367507919677,-0.6159734103013859,-0.14514140238439646,0.46700493207300864,0.21810329078017587,-0.21850711221876856,0.1524604065033496,-0.46592517016786256,-1.1719984587325925,0.16044832238609844
va4,1.2888114085795883,-0.5528251553045559,3.0800911550284624,-0.07217019264945462,-0.1772263504050912,-0.7299918777620429,-0.716558862395098,-0.4698495224002539,4.216736677692116,0.7712867300945204,-0.771844984987958,0.1760462730000323,-0.17586311452816292,-0.2414062583671086,-0.38458297184080065,-0.3987613330135157,-1.0723165176135134,-0.7703443846657662,0.18645239521489973,-0.659895564769883,-0.9901863756188589,-0.6553529534397647,-0.5316606678455208,1.8420763255524597,-0.7384755858712005,-0.7607511662486741,-0.712817350349439,-0.7227797629977155,0.0,-0.7748735852663698,-0.6031940040452504,-0.9402067134267892,-0.7568563192111751,-0.8856399375803001,-0.6032970675626389,0.7415973777268413,-0.5838919393788483,1.4135172951635673,0.3299245750159845,0.8387080909376523,2.072242423828211,2.819584123761583,2.294445739054147,-0.6029658279103385,0.7495816497025823,-0.5547568937237789,-0.640880341869692,-0.8308106434267248,-0.718975208558283,-0.6627131411800218,-0.576571148858819
dp1m,0.320997642647507,-0.5672287665927943,1.804506469649975,-0.1772263504050912,0.3412197920890846,1.1367118294755236,-0.9246206686306497,0.7047390563264856,2.0558748297318985,-1.675846249491529,0.08125372593514106,0.2747185717464799,-0.3517325026560076,-0.5422436830818914,0.28543505184456486,0.29621739072356457,-0.6035128994964531,-1.8163675231402614,-1.2252682387788574,0.3800981370144254,-0.4695761257804437,-1.538982225373522,1.0594498826392575,-0.975935964652117,-0.03377187965647788,2.867516609600863,0.25894291927715496,0.9550906926656944,0.0,-0.640606484928122,0.5336106300644888,0.6012087679708048,0.36841536350636983,-0.9017287171354883,0.15983513879453348,-1.0122280714653638,0.9351086832963452,-1.2045961604529278,-0.5376843843567226,3.630599898035,0.14544540418870294,0.7472952503075039,0.2912767357083755,-0.766560379087586,2.2268624315391996,1.0968440027241,-0.8403877740814014,-0.7205684537124093,-1.095788153303859,-0.2709903774440503,-1.3048637105136005
dm1,0.31981609254627086,-0.9073920465121265,1.1044061308752329,-0.7299918777620429,1.1367118294755236,-0.02862693800094589,-0.11326095012155082,0.603545034980748,0.6864579944211593,0.7826936370292398,-1.1693794327569602,-0.7465382784463059,3.792838475262506,-0.37194774169639977,-0.6039682632776612,-0.6008714654859626,-1.825174714652846,-0.4041593258616738,-1.4978260797423066,0.8079704714398639,-0.8912110120640391,0.0460723133680475,-0.8239474928217114,-0.670026261140923,-1.1731999204119987,3.898780756763867,1.629695010624997,1.7690868771475705,0.0,-1.1502544743705352,-1.0067691944321993,-0.8329042881362952,0.3797218816655133,-1.372931945794658,-0.9072796147614943,-0.13543848701702002,0.22297589491871986,0.466581657081073,0.9331589411325666,-0.10466673713544077,-1.1281814997215658,-0.9731860284536096,-0.5736227758518117,-0.99723649684698,-1.107537097526497,2.789952578931652,-1.0115790603686527,-0.4315435715663912,0.6821074152316879,1.9318272453869165,1.3747334111160332
dm2,-0.7482208452456803,0.47306609026740776,-1.1820026182143755,-0.716558862395098,-0.9246206686306497,-0.11326095012155082,-0.06407785110172962,0.8166096801905542,-0.6349658390128132,1.0832804533975184,-1.042384092895794,-1.2584991387066229,-0.2441365376313497,-0.34813929518883163,-0.5137003722246354,-0.5614600251070654,0.28798413108329945,-1.0744229089447361,-1.3433391611682033,0.0743482399455144,-0.6427267688727609,-0.8908552737116071,-0.7842178385412678,-0.5773502691896228,-0.118383287895588,-0.07078140853192524,2.1152974590734734,2.1406796795097986,0.0,1.7188045914967462,-0.9095685443342403,0.16275763756729036,-1.0792445484905377,-1.1942929927581123,-0.7849674906818266,-0.9916050476808244,1.6968453259573995,0.7429885842767767,0.45395416187769344,0.1340841428672062,-1.0217424611902814,0.33535231839069685,-0.5265072996873683,-0.918503700767792,-0.9546935186272737,-0.6982138427794443,-0.9319506109939815,0.7326614803111264,-0.08115012777534389,0.12038066696874229,2.940636953279637
dm3,1.3678783541171142,-0.5466316630505967,-0.7785933248303745,-0.4698495224002539,0.7047390563264856,0.603545034980748,0.8166096801905542,-0.05391937173621597,-0.46366524394412034,-0.7088411724860683,-0.7451540023648068,-0.9098508803567819,5.175033004142179,-0.23182057667122258,-0.36600001973090135,-0.3744770285222047,0.6781806558899761,-0.7789043068258817,-0.9370623798203954,0.8221786020271339,0.0655281095570376,-0.6711933820990276,-0.5570896193442619,-0.42260800072725957,1.869612059270066,0.6860138008172038,-0.6863262101726119,0.8400420031502588,0.0,0.5368633310735856,-0.6265762898082249,-0.9520486399784253,-0.7684191401727495,0.3154077270690135,-0.5886719404433531,-0.7058584479756136,-0.5846096078976971,-0.5199710497945352,2.6403086916505982,-0.6181201190106183,-0.7026105323120019,-0.5968452660680008,-0.3784183671784369,-0.6465597743231217,0.7785704667091554,-0.5182076874999604,-0.6322995185939057,-0.7852359221210534,-0.7213033718652224,-0.6664589186718552,-0.5545921144050343
dm4,-0.5005007512521914,-0.5175218286277233,1.9342312944561182,4.216736677692116,2.0558748297318985,0.6864579944211593,-0.6349658390128132,-0.46366524394412034,-0.01767155840683457,-0.6615149731699957,-0.6582853175939367,0.3765399458842708,-0.13150664608837004,-0.24356115022372857,2.4807531490243333,-0.35826272709044155,-1.0575687304564492,0.7722249715085996,1.3149885789914906,-0.6078071500616046,-0.8766812333116469,-0.5990532341913642,-0.533829648169009,-0.4020151261036866,-0.6920136758044245,0.7705701218651095,0.9346576843857043,-0.6602625365610341,0.0,-0.7198761258325556,1.1177732367946858,-0.846050467925474,0.6550402173591335,-0.7751631220801751,-0.5137003722246356,0.9849073589979956,-0.536816575908941,1.6901017679930288,0.45238904664524887,-0.6228787089449845,2.269889902397857,-0.5713163158931993,-0.3377278397054534,-0.5812126852771728,1.01992436746339,-0.489013036830962,-0.6410750824092671,-0.7285297345143564,-0.6667581349619033,-0.6370684777058435,-0.5453625709921374
vm2,1.9320182508275388,-0.7798062089597202,2.2102555600127736,0.7712867300945204,-1.675846249491529,0.7826936370292398,1.0832804533975184,-0.7088411724860683,-0.6615149731699957,-0.3129330638884649,-1.0758977547173139,0.24583792787363484,-0.22524545469421003,-0.3520911251045052,-0.48538830509646186,-0.5555417637755704,0.2066966176166433,-0.26019710346117864,-0.6245758086466521,-0.9694347838369554,-0.02037329324967905,1.2459596546279061,-0.8074924227018467,1.0854323941717485,-1.0949125506745023,0.7813251728865251,1.045784092015765,0.03038062307178578,0.0,0.673102821246754,-0.8963200880642481,0.08099573953422463,0.6800152731320488,-0.40208521387212853,-0.856660413756566,-0.04158138668752169,-0.8493956383494384,0.6316761657092361,-1.2372149414537914,2.2133125767503574,-1.0318181828437887,2.4677984238449437,-0.5508288554160755,-0.9097282058778609,-1.0475669544972734,-0.7541088762574015,0.14450491525772557,1.4775422306805717,0.9318208297701547,-0.9816641186882153,0.36787825892445997
