,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
vm3,-0.010594275412375795,0.38043589071903827,-0.030426700423652166,0.7831959532028855,-0.40725633408746437,0.04962195275592583,0.42601076893481393,-0.7482289435383334,-0.5653820736535693,1.3897588100314222,-0.8200453225342309,-1.1853036093112743,-0.24104996359825898,-0.3183105180528665,-0.5490121370547832,-0.2147470448254575,-0.2468257834590612,-1.0943287017538283,-0.6657636786870722,1.3160938762191365,-1.0340415020243767,0.6123236235769747,-0.7115361200255325,2.0558820577943706,-1.1032116181779283,0.12238748869178018,-0.05955035358229409,1.354460801463967,-0.31241893944401483,-0.024232190583632796,-0.021745798664888325,1.8489031422892324,0.7281203977446632,-0.3758625029615442,-0.6114540384188105,1.225346815531992,-0.568672025823994,-0.6665235500095332,0.44753154267269135,-0.8897423352656433,0.7412664333279735,-0.7759062653707285,2.034158835682223,0.8265232499153017,-0.18097691358965912,-0.6800000689248562,1.7934844023383611,0.15681251204679394,-0.9683078063226913,-0.6655352573610253,-0.4865967030326222
dl2v,0.38043589071903827,-0.03728668362002195,-1.0502626023054882,-0.6763406399542634,-0.4697209631704168,1.1665710249240762,1.5415133161341708,1.8153979597050593,1.2001176848191566,1.5877872508508841,-0.7590241749109959,-1.1529351783691932,-0.23483851418238033,-0.2956671009108277,-0.5052232247076284,-0.21354560854605056,-0.24586000928604157,-0.2803362365046144,-0.7302804752996407,-0.9657523480297215,-1.0374175117553968,0.5311707566368765,-0.7695997548174668,-0.457774168724792,-0.3776463463704075,0.13563140979519323,-1.0593211720755449,0.28582945545261745,-0.2916666666666664,-1.0393011574243614,-0.026462861027977413,0.20500849277979724,-0.25356403536222705,0.4593712814152045,-0.5975433725562633,1.2236319834424894,1.1166460063193595,0.8644671488516221,-1.215501686865955,0.26720396714548145,2.134135954391737,0.4891729634507026,-0.40285133488727065,0.8363257277211558,-1.0321878393452417,-0.6494232504242766,0.5518962257596092,2.3433142779221336,1.0671417870626474,0.8415130101283721,-0.5029578338630359
va2,-0.030426700423652166,-1.0502626023054882,0.006864593162502174,-0.8920496928932147,-0.9745590971834973,4.754329154740442,-0.05618529249054723,4.139394402187934,0.8190213113821463,-1.11743596561957,0.06912438756764135,-0.03694270247375298,-0.3009438823221258,-0.40388738075857916,0.8004041841708208,-0.2768772075757733,-0.8367502919678348,-0.724782907596714,-0.046835710387268824,-1.1555193801610322,0.22672947727903045,-0.9405998460287297,0.13127500103811998,-0.5423640813900669,0.5570543674225139,3.0253169045376613,0.3102586604743769,-0.22068447760923704,2.2596475537432514,-1.279830301613688,-1.2307924897282787,2.144414188671795,-0.6882158679812179,-0.8466924867027416,0.46154556627278837,-0.27606883563127743,0.7158110929695148,-0.8060683549758073,-0.1664281107623022,-0.17521383919765401,0.3500089289130966,-0.9763176897838421,-0.4820790705909312,-0.6243249573509716,-0.5839720502664288,0.4233758387353441,0.0940085100976758,-0.28599416577852566,1.1406932691761948,-0.8142491838755187,0.7919197014166546
va4,0.7831959532028855,-0.6763406399542634,-0.8920496928932147,-0.05030769951300135,-1.037368135376819,-0.7815426500483131,-0.6240839672530676,-0.6083880998160488,-0.4311491804536025,2.0466287289513923,-0.5850623609316232,0.19157022186837153,-0.17586311452816356,-0.2172784700199867,-0.4365440186426955,-0.19352523826151255,-0.4041593258616735,0.22350477187268858,0.7513070938893148,-0.7385480867625701,0.39027952622842277,0.9414418361188572,-0.6212094802904471,-0.38143370598584736,1.101399147043062,0.5234380212072544,-0.8566604137565665,-0.728911679986419,-0.2710713640297917,1.55902469908773,-0.8103389336693783,0.8076946249808684,0.17376455314952866,0.11080444330203904,-0.5288562865117927,-0.7515104745885216,1.6696993778754825,-0.5209364130115286,-0.9230651363019893,-0.7486455774022736,1.1725838340954144,0.9434502106085133,-0.32067012279661095,-0.8745164177785284,0.21445119553880412,-0.5282967437639745,-0.6075256249108065,-0.7341722191471519,-0.8182284166948113,-0.5026028286234487,-0.43196980901745063
dp1m,-0.40725633408746437,-0.4697209631704168,-0.9745590971834973,-1.037368135376819,0.21129392733194066,-0.0821405106849249,1.1132395062303684,-0.22664265225462166,-0.8268848462479065,0.1707769588153276,-0.3405212422741629,-0.5737222475947122,-0.3398470549712001,-0.43936864093825223,0.4661749538476647,-0.32220779262261934,-0.5808669072035205,-0.5406529081280095,0.1961403387516575,-0.663085802713308,-0.9399628452252655,-1.1201876308850969,-0.308448585571687,-0.6527816710570582,-1.2470207161728613,-0.0697749895904446,-0.21069387660807026,3.2515763650424714,-0.46165253023224606,-0.25556606815146826,0.41057080520408595,1.5615760043978777,-1.5816033836008565,-0.6898841968354037,-0.9665775884351919,-1.3776885780843222,0.3162060791007864,3.0808677520394614,-0.19101123595505623,0.22328906112171018,-0.07383781734699857,1.4375356996562312,-0.5816415557705508,-0.34610205105956815,0.75453168961872,1.1308241171456912,-0.2868353911572739,1.4951180974044305,0.4505238534109386,-1.0209190907875918,0.3985074054521718
dm1,0.04962195275592583,1.1665710249240762,4.754329154740442,-0.7815426500483131,-0.0821405106849249,0.037340600064552205,0.09173505519992892,2.4530573674483938,0.9997481425473125,1.0090905637136487,-0.8632067727788972,-1.3377495079514754,-0.2632299212583557,-0.327721540668155,0.9454093432854658,-0.24868532632824555,-1.2148653673197611,-1.3430180498620987,0.25589000646008286,-1.0325003757935647,-0.34845201809620135,1.359342865372091,-0.9350060205943456,-0.4965048686735204,-1.3645393656363964,0.791358085726516,1.3465742711389947,0.9201006551313843,-0.3667061148596948,-1.2365468908220472,-0.34299717028501736,0.4129832196923949,-0.47966349464375174,-1.441415958455698,1.9814734824194014,1.7299828509571311,-0.7148210861812371,0.5189992961076788,-0.0189583603376972,-1.0489178793100464,-0.7927069035565537,0.2137424288370702,-0.4245277124930064,1.9846115842529481,-1.2954120785506749,-0.7671277566544505,0.35346102206762126,-1.08766613828904,0.5606052084853731,-0.7484135472201856,0.9470660331029371
dm2,0.42601076893481393,1.5415133161341708,-0.05618529249054723,-0.6240839672530676,-0.4502991261156547,0.09173505519992892,-0.3205535109404247,-0.7869929102960288,3.4891689882814614,0.2755891273047771,0.5203559286771143,0.6254151419002992,-0.2636640221523225,-0.30016680568428267,-0.5122213199515011,-0.22227080044538639,-0.8278870246319958,0.6701737782943414,-0.010489831103948135,0.24049702135281928,-0.0794479656312109,-0.7674843309148882,-0.7664309364850604,-0.43400822981737247,0.4745143534465499,2.1783998312581385,0.928280038108632,0.25731425165096244,-0.29291703603882674,-0.06665063324565927,-1.031243852617438,-0.5018935863556192,-0.21627553776963745,0.4452310800056397,-0.5687349770754874,-0.9416536727278346,-0.569098125075756,0.8692159021833272,3.012424005423025,-0.8066286898040345,-0.7313860705783735,-0.798065339289444,-0.3931899855180748,-0.18278846269002558,-1.062522248047851,0.8533207271462151,0.5606321976032128,1.249903609985633,0.012110368181915472,-0.64967993406269,-0.5338315156264457
dm3,-0.7482289435383334,1.8153979597050593,4.139394402187934,-0.6083880998160488,-0.22664265225462166,2.4530573674483938,-0.7869929102960288,-0.0508699651280633,-0.48830442894125414,-0.8247775792072115,0.7613319450908274,-1.0241393848660927,-0.1534322437718475,-0.2668204346819715,-0.5114781589870133,-0.19969232143222276,-1.4322366896231018,-0.08075941154357806,0.988707380872808,0.2891574659831201,-1.006957536408012,0.7156434538807441,-0.7358832579026364,-0.4231323780960434,-1.1199635464820983,-0.8693660212269476,1.2170269116771992,-0.8179536860762724,-0.2972409559194007,-0.8967523741581451,0.1370501290132909,1.216987752287869,-0.03358908129254668,-0.19377461177615424,2.871201531262029,0.30202122127565384,1.2403300624859264,-0.5928324773480557,-1.1193033024127672,-0.8044504279547883,0.968906901043679,-0.768916051669733,-0.3341339130028611,-0.9506924247322625,-1.067408731505576,-0.6290257645132623,-0.70443326942039,-0.8442933507762624,1.162931130274774,-0.6344189708206859,-0.4970079681314317
dm4,-0.5653820736535693,1.2001176848191566,0.8190213113821463,-0.4311491804536025,-0.8268848462479065,0.9997481425473125,3.4891689882814614,-0.48830442894125414,-0.031692222915572776,-0.5663662907924771,-0.5160122253052079,0.5613219378680571,-0.13150664608836998,-0.17318976288085836,-0.32254297430886336,-0.14645975437882927,0.02707850335399045,0.5504323596041822,-0.9079074857845255,1.0491222082343534,-0.7002619587597265,-0.5219155938140454,-0.49239636094353945,-0.25317216319399305,-0.7546051029928493,0.9663559318327017,0.9468666554270333,-0.5674561114149318,-0.21707238158772585,-0.6800000689248559,-0.6589528513801521,0.2826406656458277,-0.7241500244228309,-0.7777630010447074,-0.42311604434225725,1.044669056442692,-0.3752443793025754,-0.45969124013987456,0.46226245461183824,-0.6084056490333795,-0.44981528783855174,-0.5159163504028865,-0.24828176658071194,-0.6861392895729742,-0.7000511325767206,-0.4337266557189971,-0.5017730252696779,-0.6035119237110209,0.871652678106073,-0.4368163839762048,2.71161800696727
vm2,1.3897588100314222,1.5877872508508841,-1.11743596561957,2.0466287289513923,0.1707769588153276,1.0090905637136487,0.2755891273047771,-0.8247775792072115,-0.5663662907924771,0.004366918552697527,-0.8233865228169626,-1.2202548537875026,-0.20854725420517495,-0.3066511127049082,-0.5327408889726974,-0.23657178420367495,-0.3849560622372102,-1.1890866492776198,-0.20058953542795355,0.07944654370269778,-1.106693764365244,-0.8065360406773341,-0.8121685493518914,-0.45415915961991477,-1.2063737067716318,1.8210861014860948,0.852125248488995,2.2783131989395176,-0.3143268986384294,-0.18697324874717464,-0.12650271734714666,0.7594105355178177,-1.1484258429320604,-1.2638104791394287,-0.6346247110512948,1.0929558980681675,0.9104981638676156,-0.7122701287218542,1.782092304049298,0.12373641389847018,-0.7387298936930823,-0.8642202901057003,-0.4038873807585791,0.6064368165799986,-0.27402030007645894,-0.7214431421215136,0.36475952660945343,1.0458535881103344,-1.091418790901607,0.7966317727665662,-0.5926908498758815
