,gamma,alpha beta,alpha beta prime
dp1m,0.03846153846153847,0.07171314741035859,0.05014749262536873
dc1,0.03461538461538462,0.03984063745019921,0.07964601769911504
va3,0.03461538461538462,0.0557768924302789,0.02654867256637168
dl1,0.03846153846153847,0.02788844621513945,0.05014749262536873
da1,0.05000000000000001,0.03187250996015937,0.02654867256637168
dc3,0.03846153846153847,0.019920318725099605,0.0471976401179941
vc3l,0.019230769230769235,0.03187250996015937,0.04129793510324484
va6,0.019230769230769235,0.03984063745019921,0.032448377581120944
va2,0.03461538461538462,0.03984063745019921,0.014749262536873156
vm5d,0.03846153846153847,0.019920318725099605,0.02064896755162242
va5,0.026923076923076928,0.019920318725099605,0.029498525073746312
dm5,0.023076923076923078,0.04382470119521914,0.008849557522123894
dm1,0.026923076923076928,0.03984063745019921,0.008849557522123894
dc2,0.023076923076923078,0.019920318725099605,0.029498525073746312
va1d,0.030769230769230774,0.007968127490039842,0.032448377581120944
dl5,0.011538461538461539,0.02390438247011953,0.032448377581120944
vm5v,0.023076923076923078,0.019920318725099605,0.02359882005899705
d,0.026923076923076928,0.011952191235059764,0.02654867256637168
vm2,0.030769230769230774,0.02788844621513945,0.0058997050147492625
vc4,0.030769230769230774,0.015936254980079684,0.017699115044247787
dm6,0.026923076923076928,0.02788844621513945,0.008849557522123894
va7m,0.03846153846153847,0.011952191235059764,0.011799410029498525
dp1l,0.015384615384615387,0.03187250996015937,0.014749262536873156
vl2p,0.015384615384615387,0.015936254980079684,0.02654867256637168
dm2,0.007692307692307694,0.03187250996015937,0.017699115044247787
vc3m,0.019230769230769235,0.015936254980079684,0.02064896755162242
dc4,0.007692307692307694,0.02390438247011953,0.02359882005899705
vm7d,0.015384615384615387,0.015936254980079684,0.02359882005899705
dl2d,0.023076923076923078,0.015936254980079684,0.014749262536873156
vm4,0.030769230769230774,0.007968127490039842,0.014749262536873156
vl2a,0.011538461538461539,0.015936254980079684,0.02064896755162242
va1v,0.023076923076923078,0.003984063745019921,0.02064896755162242
va7l,0.026923076923076928,0.015936254980079684,0.0029498525073746312
vc5,0.023076923076923078,0.003984063745019921,0.017699115044247787
vc1,0.0,0.019920318725099605,0.02064896755162242
dl2v,0.015384615384615387,0.015936254980079684,0.008849557522123894
vm7v,0.015384615384615387,0.015936254980079684,0.008849557522123894
vm1,0.007692307692307694,0.019920318725099605,0.008849557522123894
vm3,0.007692307692307694,0.011952191235059764,0.014749262536873156
dl3,0.0,0.0,0.032448377581120944
dm3,0.007692307692307694,0.015936254980079684,0.0058997050147492625
vc2,0.003846153846153847,0.007968127490039842,0.017699115044247787
va4,0.019230769230769235,0.003984063745019921,0.0058997050147492625
dm4,0.011538461538461539,0.007968127490039842,0.0058997050147492625
dl4,0.0,0.007968127490039842,0.011799410029498525
da4m,0.007692307692307694,0.007968127490039842,0.0029498525073746312
vl1,0.007692307692307694,0.007968127490039842,0.0029498525073746312
da4l,0.007692307692307694,0.003984063745019921,0.0058997050147492625
da3,0.003846153846153847,0.0,0.0029498525073746312
da2,0.0,0.003984063745019921,0.0
v,0.0,0.0,0.0
