,component,variance explained Orco+,variance explained Orco+_fixed,confidence interval lower,confidence interval higher
0,0,0.0612877065487801,0.058416459669965115,0.006171540875241528,0.007344861384363757
1,1,0.05725611450163299,0.052008521472512,0.005065217992765825,0.005230198004791152
2,2,0.04927461024738155,0.04728580341245609,0.003909511358464152,0.004122224746412363
3,3,0.044618491331705847,0.0439364385935991,0.0031523636352170856,0.0037571993440386683
4,4,0.042006717497651384,0.0411630981102385,0.002681137113249292,0.0029204622704813443
5,5,0.039789537246279746,0.03881817528252937,0.0024024108954036894,0.0026512152457840096
6,6,0.03713481056944545,0.0367874580313812,0.002213244806664544,0.0023496775268692996
7,7,0.03437150751105303,0.03501369158308695,0.00205800159232708,0.002136789161399477
8,8,0.03282366715376427,0.03337710267464437,0.0018064187563310713,0.0019689466782705015
9,9,0.03126779961951313,0.0319045815297191,0.00176715458875331,0.0017186295586508332
10,10,0.03060136732702972,0.030536260543863263,0.0017109869835817068,0.0017445809179940236
11,11,0.02924619402308019,0.029312001036111684,0.001547400407867841,0.001559715478318284
12,12,0.028174320347256376,0.0281064052067446,0.0013700097486794433,0.0014218857878866079
13,13,0.026206797679716218,0.026976441642440743,0.001390477839285132,0.0013442088111209408
14,14,0.0253958113250023,0.025917547197509015,0.0013784691517764666,0.0012970443483111202
15,15,0.024725338472915973,0.024935909234881443,0.0013021539604832003,0.0013100089996495173
16,16,0.02337454367645478,0.023942651615894192,0.0012016531786601704,0.0012382675779716718
17,17,0.021847041969495273,0.02302771271724882,0.001221022898285136,0.0012638926939623936
18,18,0.020711618839692036,0.022126880401573335,0.001161915901471102,0.0012448098574111242
19,19,0.020388835187780164,0.021270779090308483,0.0011648007853238378,0.0012388568616038473
