,component,variance explained Orco-,variance explained Orco-_fixed,confidence interval lower,confidence interval higher
0,0,0.06845333577022482,0.05998269929774534,0.006182657500234293,0.007171070548731659
1,1,0.052488800393412596,0.0531891093046843,0.00470845717132494,0.00565423176776491
2,2,0.05120508138778151,0.048673438583598835,0.0036993642929416884,0.004013080574498458
3,3,0.04740561248164206,0.0453935736085767,0.003023406781493064,0.003412284758210732
4,4,0.042245904494767894,0.04271996506669828,0.002674902934768207,0.0029519870132839465
5,5,0.04038315360873539,0.04033901655450058,0.002528464361103114,0.0026539824245269614
6,6,0.03892802716382622,0.038235580591805575,0.002289107157974951,0.0024931219601468935
7,7,0.035656787077412086,0.03638041107203828,0.002097701053055588,0.0023433494318524303
8,8,0.03373639776052823,0.03465336144576189,0.002031020860189428,0.002113245940048712
9,9,0.03263637893244356,0.03308800035896476,0.0018588492355076473,0.0019845162257532273
10,10,0.030234262102249745,0.031612541240855684,0.0016910045466598071,0.0018218900968683255
11,11,0.028983146358483293,0.03021137777115123,0.0015277695037993755,0.0017192592779200697
12,12,0.02853826348202502,0.02889210263973237,0.001522391121909463,0.001631012145706101
13,13,0.02679362661070884,0.027691164126623147,0.0014492847830055167,0.0015993070729847653
14,14,0.026047304327776764,0.026513133984226767,0.0014244989768339433,0.001391897056477475
15,15,0.023835987029963434,0.02536334583469263,0.0013923123894105556,0.0014175698029700416
16,16,0.022659114395523535,0.024297531287956215,0.0013389925216124518,0.0014403968834461184
17,17,0.02185027542093962,0.023244751542767655,0.0012739801600863063,0.0013739700194493297
18,18,0.021723696625585428,0.0222674334883402,0.0012418795147818087,0.0012881558360840588
19,19,0.020591889835019958,0.021298829584071324,0.0011978639456825535,0.0012874882118594569
