,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
0,Orco -/- vs. Orco +/+ d,0.631578947368421,0.26562765391345483,-0.6629650127224294,1.325659748149773
1,Orco -/- vs. Orco +/+ da1,0.9333333333333333,0.8890570852852714,-0.0995356735509144,0.11759383261047833
2,Orco -/- vs. Orco +/+ da2,1.0,1.0,0.0,0.0
3,Orco -/- vs. Orco +/+ da3,1.0,1.0,0.0,0.0
4,Orco -/- vs. Orco +/+ da4l,1.2,1.0,0.2630344058337938,0.0
5,Orco -/- vs. Orco +/+ da4m,0.2,0.21592621252504401,-2.321928094887362,1.5328185383398607
6,Orco -/- vs. Orco +/+ dc1,1.108695652173913,0.6511432403758745,0.14886338591448275,0.4290256296775576
7,Orco -/- vs. Orco +/+ dc2,1.2272727272727273,0.5477666877912643,0.2954558835261713,0.6019058348980469
8,Orco -/- vs. Orco +/+ dc3,1.375,0.17032828360542965,0.45943161863729726,1.7700276240380746
9,Orco -/- vs. Orco +/+ dc4,1.0625,1.0,0.0874628412503394,0.0
10,Orco -/- vs. Orco +/+ dl1,0.6764705882352942,0.1589156558282905,-0.5639008851933265,1.839381683997769
11,Orco -/- vs. Orco +/+ dl2d,0.8,0.6930284298793281,-0.3219280948873623,0.3666842562768149
12,Orco -/- vs. Orco +/+ dl2v,1.2727272727272727,0.6823278958446207,0.3479233034203068,0.38224495098316086
13,Orco -/- vs. Orco +/+ dl3,1.0909090909090908,1.0,0.12553088208385882,0.0
14,Orco -/- vs. Orco +/+ dl4,0.6666666666666666,0.7514103088763702,-0.5849625007211563,0.2858034263777301
15,Orco -/- vs. Orco +/+ dl5,1.5,0.17925438621159023,0.5849625007211562,1.7189493300021215
16,Orco -/- vs. Orco +/+ dm1,0.95,1.0,-0.07400058144377693,0.0
17,Orco -/- vs. Orco +/+ dm2,0.9375,1.0,-0.09310940439148147,0.0
18,Orco -/- vs. Orco +/+ dm3,1.5,0.49457256833371455,0.5849625007211562,0.7040613877586012
19,Orco -/- vs. Orco +/+ dm4,0.8571428571428571,1.0,-0.22239242133644802,0.0
20,Orco -/- vs. Orco +/+ dm5,0.95,1.0,-0.07400058144377693,0.0
21,Orco -/- vs. Orco +/+ dm6,1.2941176470588236,0.5051986887113933,0.37196877738695794,0.6828034840923183
22,Orco -/- vs. Orco +/+ dp1l,0.9411764705882353,1.0,-0.08746284125033943,0.0
23,Orco -/- vs. Orco +/+ dp1m,0.7333333333333333,0.17491243105923515,-0.4474589769712214,1.7434698242446829
24,Orco -/- vs. Orco +/+ v,0.0,0.4989979959919839,-inf,0.6951531992868112
25,Orco -/- vs. Orco +/+ va1d,1.0,1.0,0.0,0.0
26,Orco -/- vs. Orco +/+ va1v,1.5714285714285714,0.22546468382052307,0.6520766965796931,1.4895917450737635
