,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
0,Orco -/- vs. Orco +/+ d,0.6666666666666666,1.0,-0.5849625007211563,0.0
1,Orco -/- vs. Orco +/+ da1,0.875,1.0,-0.19264507794239588,0.0
2,Orco -/- vs. Orco +/+ da2,1.0,1.0,0.0,0.0
3,Orco -/- vs. Orco +/+ da3,0.0,0.44000000000000006,-inf,0.8209805520698301
4,Orco -/- vs. Orco +/+ da4l,0.0,1.0,-inf,0.0
5,Orco -/- vs. Orco +/+ da4m,0.0,0.5038926174496644,-inf,0.6853920942271511
6,Orco -/- vs. Orco +/+ dc1,1.0,0.6319642599768208,0.0,0.45892243710391634
7,Orco -/- vs. Orco +/+ dc2,1.0,0.7495119475538927,0.0,0.28833302086754664
8,Orco -/- vs. Orco +/+ dc3,0.6666666666666666,1.0,-0.5849625007211563,0.0
9,Orco -/- vs. Orco +/+ dc4,0.8333333333333334,1.0,-0.2630344058337938,0.0
10,Orco -/- vs. Orco +/+ dl1,0.2857142857142857,0.29962015563597255,-1.8073549220576042,1.2052397544484978
11,Orco -/- vs. Orco +/+ dl2d,1.0,0.7312827386738485,0.0,0.3129551106022226
12,Orco -/- vs. Orco +/+ dl2v,1.0,0.7312827386738485,0.0,0.3129551106022226
13,Orco -/- vs. Orco +/+ dl3,0.0,0.44000000000000006,-inf,0.8209805520698301
14,Orco -/- vs. Orco +/+ dl4,0.0,0.5038926174496644,-inf,0.6853920942271511
15,Orco -/- vs. Orco +/+ dl5,0.6666666666666666,1.0,-0.5849625007211563,0.0
16,Orco -/- vs. Orco +/+ dm1,0.5,0.4247591731965538,-1.0,0.8562329219674709
17,Orco -/- vs. Orco +/+ dm2,0.625,0.7751570836334015,-0.6780719051126377,0.25468958160811306
18,Orco -/- vs. Orco +/+ dm3,1.0,0.7312827386738485,0.0,0.3129551106022226
19,Orco -/- vs. Orco +/+ dm4,0.5,1.0,-1.0,0.0
20,Orco -/- vs. Orco +/+ dm5,0.36363636363636365,0.18016216127241094,-1.4594316186372973,1.7138979376972896
21,Orco -/- vs. Orco +/+ dm6,0.5714285714285714,0.7559530689025069,-0.8073549220576042,0.2797759829008206
22,Orco -/- vs. Orco +/+ dp1l,1.0,0.6076699744235321,0.0,0.49812334961251165
23,Orco -/- vs. Orco +/+ dp1m,0.5555555555555556,0.4006247072526742,-0.84799690655495,0.9147301820340239
24,Orco -/- vs. Orco +/+ v,0.0,0.44000000000000006,-inf,0.8209805520698301
25,Orco -/- vs. Orco +/+ va1d,2.0,0.40554136853763073,1.0,0.9025323920417265
26,Orco -/- vs. Orco +/+ va1v,3.0,0.32053173019615966,1.584962500721156,1.137774005349699
27,Orco -/- vs. Orco +/+ va2,0.7,1.0,-0.5145731728297583,0.0
