,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
vm3,0.36551492557540616,-0.45974886297403506,-0.481481186980376,-0.3511577521690974,-0.5272509032472665,-0.39764527192818516,2.317854791440799,-0.4506038680205797,-0.2295945597873926,-0.6956810773864912,-0.21958604088171071,-0.4340082298173721,0.0,-0.21453462331873138,0.0,0.0,0.9424632932425433,-0.4409318524588066,-0.37447702852220494,1.7588515549847963,-0.3105037504263073,1.8686227364950931,0.0,0.0,-0.2830922264993451,-0.3949160152335636,-0.3692853328467537,1.5863567316642602,-0.23437535321350922,-0.45254125315477095,-0.4009813432049899,-0.6750497838375296,-0.3745983225256482,-0.4951656716053989,-0.20960938184084302,-0.3835843690167766,-0.2800560168056029,-0.4247362603647096,-0.56544186299784,-0.32311042249532507,2.7762649749197856,-0.3318133375737177,4.502954113099605,-0.5126747272416508,-0.4762137388709312,-0.3719477416964003,2.2789954420136924,-0.502393278845963,-0.2956671009108277,-0.22207643579819675,-0.331194865783388
dl2v,-0.45974886297403506,0.3040023599813811,-0.47596309479130905,-0.3318133375737182,-0.5407456996950378,-0.37611381490531337,2.3838958048335686,1.8376937665831174,-0.20069785042142624,0.8557199766069851,-0.2460063674141157,-0.41657741941849624,0.0,-0.21958604088171116,0.0,0.0,-0.6415402880089248,-0.44622694435662036,-0.36651038610685405,-0.49374193110102055,-0.30212889698105605,-0.42230208885918324,0.0,0.0,-0.3105037504263067,-0.36773003090044526,-0.37158625296351994,1.5793176608999158,-0.2295945597873931,-0.4375405768585437,-0.39622641509434225,0.7902490634357882,2.2874436804392433,-0.48293885878871695,-0.23008114237079522,2.0339086905194295,-0.3261640365267187,-0.42073781037473834,-0.5929708759586332,-0.3143268986384292,3.199367915101326,-0.30330819624668703,-0.2319946984572722,1.2332784809443156,-0.47537789828474325,-0.37461136489314856,2.38201540153787,-0.4983029907638289,-0.29568060636071747,-0.24600636741411563,-0.32029043370197835
va2,-0.481481186980376,-0.47596309479130905,0.4509034893197192,-0.3330375807483608,-0.6025338327275385,1.9809523894205647,-0.4235465525594353,3.5272725923256747,4.067414368996987,-0.7664309364850609,-0.26467674742046854,-0.4970662324033262,0.0,-0.24371468987328784,0.0,0.0,0.6417857482897864,-0.5043976220510376,-0.3770466677050192,-0.5324859592737752,-0.3529411764705909,-0.45248115401163885,0.0,0.0,-0.3306628198513708,-0.4126182697146006,-0.42793806183026545,-0.5324638670729173,3.4397292547671854,-0.45670613577042035,-0.45486575753918546,2.047936337738511,-0.43537567359764656,1.2201293433736242,-0.23638318773911862,-0.4423149863631732,-0.3587941814962893,-0.4412438544792733,-0.6577422767597843,-0.31432689863843055,-0.36134140917491786,-0.3288080503932836,-0.25103362425357995,-0.5940776841460904,-0.5772533170026849,-0.4143535419705256,-0.4368163839762046,-0.5407521836564723,-0.341598923422832,-0.2680971560569506,2.73449616497916
va4,-0.3511577521690974,-0.3318133375737182,-0.3330375807483608,0.21095415383497038,-0.3945383711366621,-0.27656475794223523,-0.27736089379583106,-0.32650073448626,-0.1847326808984634,1.7081947167248948,-0.15051829901569433,-0.2717337500690174,0.0,-0.14285714285714252,0.0,0.0,-0.45551767564207285,-0.36529410467327456,-0.24445885613079502,-0.366759390536758,4.776178513007942,-0.3118198202008479,0.0,0.0,4.105908965555185,-0.24477837658633492,-0.26843339998962845,-0.3571607619280965,-0.17886236067447864,3.2001376917435853,-0.2625205102160718,-0.4919885235510864,-0.25816911417308397,-0.3704892519653954,-0.16012815380508835,-0.2759165388903937,4.1465964655765495,-0.2779915691571268,-0.4184813827679441,-0.21223817998900604,-0.2119718835478847,-0.2319946984572719,-0.14645975437882872,-0.3909367081573722,-0.30929141876293353,-0.252785532222245,-0.2550147534061234,-0.34093722209362715,-0.21219098448475102,-0.1731897628808583,-0.24019223070763215
dp1m,-0.5272509032472665,-0.5407456996950378,-0.6025338327275385,-0.3945383711366621,0.4723253907428072,-0.4826355065102796,-0.46146313208398976,-0.5521051311943753,-0.27317918235407707,1.7039909725682552,3.7026428867121495,-0.5522470540418121,0.0,-0.24641889187323976,0.0,0.0,-0.8176895340952136,-0.529249270168139,-0.4583667174236575,-0.5969507391375343,-0.3920483912778064,-0.5501994427509497,0.0,0.0,-0.3722131988367743,-0.4838856133697026,-0.46318355658659094,2.7888942429678085,-0.27865269733681514,-0.5660082801847558,-0.4627976248573278,-0.8060391968750689,-0.4527968673137601,-0.6262497046966881,-0.28965259369107726,-0.4495046387768849,2.4796490933839643,3.2023067157435987,0.7004824562860908,-0.37048925196539534,-0.38756340619352314,2.2859348673417523,-0.28355248200333527,-0.6902758844575124,-0.5929365342157509,1.5654733591908547,-0.5015027161803111,2.701338521738845,-0.35553360971375547,-0.29819636158311197,-0.3796324952446245
dm1,-0.39764527192818516,-0.37611381490531337,1.9809523894205647,-0.27656475794223523,-0.4826355065102796,0.2428124022478969,-0.3176642624992664,-0.40607994546769843,-0.14492584511891263,1.1597286583123545,-0.22473328748774826,-0.3892516855427912,0.0,-0.17621829345468967,0.0,0.0,-0.5678187527901445,-0.38595075267494194,-0.32595036293748125,-0.41827114584009,-0.28284517593585473,2.3116943214530408,0.0,0.0,-0.30683074806096117,-0.3413280743931474,2.7349036231903474,-0.4477921264848666,-0.1960142830746338,-0.4144253831451531,-0.3587941814962893,1.1212338774732005,-0.33181333757371734,-0.42196507805179545,5.1016690432668454,-0.3369133348830609,-0.27961664936048414,-0.36854813274876147,-0.47921048812504224,-0.2896525936910773,-0.27943530657213406,-0.27591653889039364,-0.20145154833543205,3.6115469177820803,-0.42235654528363,-0.3231104224953241,-0.325889384367546,-0.42813132896618555,-0.2637897496303548,-0.21958604088171077,-0.2668204346819715
dm2,2.317854791440799,2.3838958048335686,-0.4235465525594353,-0.27736089379583106,-0.46146313208398976,-0.3176642624992664,0.28158900707284146,-0.38962195994696575,-0.20436564947534794,1.1714166153294259,-0.18760780199821034,-0.3517025177327515,0.0,-0.18790823039834675,0.0,0.0,1.2568612495299798,-0.38794545008390613,-0.3398470549712002,-0.45141448638784876,-0.28485129601635084,-0.35284603276842225,0.0,0.0,-0.26895187582405156,-0.3092914187629329,2.5549842745099314,1.8249301607024595,-0.18181818181818077,2.077604804712129,-0.3372923800046069,1.0935231772805456,-0.3256303189084981,-0.43831891349884927,-0.20960938184084335,-0.3349948382225766,-0.28485129601635106,2.0201108059812873,-0.5170792258889046,-0.23908057580332914,-0.2625205102160722,-0.285709555514998,-0.19073431957798584,-0.4672510960336458,-0.4231323780960432,-0.31264463596531167,2.9521771334189606,-0.4320138246635895,-0.2437146898732887,-0.18298882785650378,-0.2909571869813241
dm3,-0.4506038680205797,1.8376937665831174,3.5272725923256747,-0.32650073448626,-0.5521051311943753,-0.40607994546769843,-0.38962195994696575,0.3182639115615605,-0.2441365376313495,-0.6720941619081119,-0.22842430427973953,-0.43192222989148227,0.0,-0.1876078019982106,0.0,0.0,-0.7013406565742859,1.7578534747160597,-0.362391623392066,-0.5453986711219845,-0.3181216761045207,1.8943686629389913,0.0,0.0,-0.30016680568428245,-0.37534131180558106,2.229053191256108,-0.5039085664277072,-0.19044534662682852,-0.4255213697016548,-0.38798768254317495,-0.6566641943265864,2.2932145626797698,1.538977139758486,-0.20194872069755854,-0.3942971929934298,-0.3012003887743841,-0.454288951975981,-0.5798100188862627,-0.2867382892006443,2.9677812368684973,-0.30544141932848684,-0.2245443565695356,-0.5710704222310868,-0.5128157850512074,-0.4004319076926848,-0.3903622394922202,-0.511525524368019,-0.28762901337162783,-0.19073431957798717,-0.299608986392416
dm4,-0.2295945597873926,-0.20069785042142624,4.067414368996987,-0.1847326808984634,-0.27317918235407707,-0.14492584511891263,-0.20436564947534794,-0.2441365376313495,0.15097101536791777,-0.34528970817191446,-0.11020775375559656,-0.22959455978739243,0.0,-0.13225413988726842,0.0,0.0,-0.3169046985709925,-0.2195860408817108,-0.1935252382615125,-0.22207643579819683,-0.16658099888065964,-0.20412414523193068,0.0,0.0,-0.1665809988806596,-0.1701143931371216,-0.18214401877933167,-0.23458673140015068,-0.12340351046845803,-0.2147470448254571,-0.17586311452816308,2.9513394616809716,-0.19874868427499093,-0.2136521838204534,-0.14285714285714124,-0.18760780199820914,-0.16338312389759926,-0.20170141995959823,-0.28514281791402923,-0.16658099888065958,-0.16012815380508816,-0.14346334579607603,-0.10546253270162932,-0.2912346120800637,-0.24371468987328881,-0.18504537000089916,-0.20236470527982706,-0.2619728595672569,-0.1568125120467955,-0.10050378152592156,-0.17281816283231605
vm2,-0.6956810773864912,0.8557199766069851,-0.7664309364850609,1.7081947167248948,1.7039909725682552,1.1597286583123545,1.1714166153294259,-0.6720941619081119,-0.34528970817191446,0.5866470746019926,-0.3042903097250895,-0.6409746362208381,0.0,-0.32462797180098574,0.0,0.0,0.0030602830335718025,-0.7093790999823921,1.1632383242407844,-0.7412797176255028,-0.48495673763531966,-0.6337724680445136,0.0,0.0,-0.4621163109021621,-0.5830295953057064,1.1585780436054,3.3607152010951316,-0.31050375042630834,0.8998462043259843,-0.5715065555905235,1.0461423463638497,-0.5571000354329876,-0.7887368226486059,-0.3334045538399551,-0.5527051915086609,1.8300704176444893,-0.6770032003863269,1.4811216368658098,1.6957784684679706,-0.4652504278816012,-0.4593546618779224,-0.3137351884836136,0.4472883912509713,0.6122380418056376,-0.5722464532717355,1.0901683117576872,2.0364965341371866,-0.4545452152175198,2.8460498941515198,-0.45349715696671966
