,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
vm3,-0.06530904552078237,-0.31373518848361354,0.9999893899767047,4.359665447807554,0.8606642833292968,-0.4558676072181846,-0.47626317147770586,-0.29260752689736286,0.0,-0.5229612439386575,-0.32132543144773157,-0.3812075413083067,0.0,0.0,-0.22717430935012853,-0.21453462331873135,-0.5888564165660621,-0.3863247046849541,-0.3339282531950964,-0.3962976228172846,-0.32132543144773285,-0.4621840031326861,0.0,-0.3451973611119151,-0.4181666987914555,-0.4614631320839897,-0.3298984776640954,-0.49713940125380496,0.0,-0.3318133375737185,-0.23081452848892775,0.7285351783640784,-0.4759516522185799,-0.5932149915289414,-0.1962824794083483,-0.32067012279661233,-0.33051506827470517,-0.350313715236097,1.1714166153294245,-0.317532582892258,-0.2318205766712219,0.0,-0.24249346059315466,-0.4150302063237325,-0.3348744110513891,-0.3119915304364472,-0.24868532632824533,-0.3820439453554937,-0.3520102427690532,-0.3398470549712002,-0.31311214554257255
dl2v,-0.31373518848361354,-0.0157807856429114,-0.5060766061403859,-0.19324698792024808,-0.4967194393875518,-0.3856004710849417,-0.37675057689975916,-0.24560222393820813,0.0,-0.4158551451244235,-0.2324693163153731,-0.341666727194364,0.0,0.0,-0.20938322787871397,-0.1847326808984633,-0.5058611277646354,-0.3066511127049083,-0.2744655138593377,-0.35425610804439134,-0.24183780852147665,-0.35068470085365394,0.0,-0.2892137886774014,-0.288212579296202,-0.3804468177070454,-0.27223860135686595,-0.42328328590734665,0.0,-0.2460063674141157,-0.2041241452319303,1.261559919350142,2.3045640360001025,-0.46171553532303694,-0.19425717247145208,-0.2550147534061237,-0.2435611502237283,-0.24183780852147663,-0.4590148472703441,-0.24183780852147657,4.3588989435407,0.0,-0.19628247940834725,-0.2936714364105112,-0.27527560420488095,-0.2680971560569505,-0.16658099888065958,-0.31690469857099207,-0.2787491027883895,-0.2509362772627081,-0.2592987835005545
va2,0.9999893899767047,-0.5060766061403859,0.12133549175946882,2.269842314036777,0.9352059944245408,-0.730834319227033,-0.695885145319696,-0.533951809518685,0.0,0.4984413628591393,3.580960067029972,0.9421698556117385,0.0,0.0,-0.36503155355959555,-0.3605537649119148,2.0815431857600277,-0.6371649914931364,-0.5360727122190158,-0.648155449070504,-0.5303428896899437,-0.7258007950189059,0.0,-0.5343861850573632,-0.6287008628803129,0.6189067795866164,-0.5025182782119104,-0.779407874937133,0.0,1.3397172375128348,-0.36464526374458583,-0.14531034640182924,-0.7227231885071523,0.08184679347760124,2.491118977260068,-0.5157957039144326,-0.4915391523114232,-0.48122604658447615,0.26113846621113995,1.3258034783103032,-0.3801746950012833,0.0,-0.39705376707070117,0.9179181645777258,1.3810266902812005,-0.5313280529316691,2.4311121427112523,1.0245809058741617,-0.5104159251498914,-0.5089621926259823,-0.4910000277324078
va4,4.359665447807554,-0.19324698792024808,2.269842314036777,-0.0048959058215379435,-0.33509757415888974,-0.25264557631995765,-0.24356115022372893,-0.17414066172173118,0.0,-0.3012003887743846,-0.19073431957798856,-0.23657178420367495,0.0,0.0,-0.1315066460883697,-0.14645975437882963,-0.3259348680202761,-0.23437535321350966,-0.16171366879482674,-0.20960938184084327,-0.16338312389760043,-0.2702320027687649,0.0,-0.16058063792223576,-0.20762474849945428,-0.2437146898732887,-0.1697250257391062,-0.298964569035715,0.0,-0.17281816283231627,-0.1534322437718476,-0.4046363648634883,-0.2704319253638488,-0.3385995887898629,-0.12427976460351174,-0.18760780199820923,-0.19900743804199644,-0.16012815380508866,3.0356856462205695,-0.18473268089846342,-0.13916893275819792,0.0,-0.12427976460351155,-0.24600636741411575,-0.18790823039834623,-0.16658099888065958,-0.1054625327016293,-0.20700127632521687,-0.16489491297879252,-0.1879082303983474,-0.1876078019982097
dp1m,0.8606642833292968,-0.4967194393875518,0.9352059944245408,-0.33509757415888974,0.12450072156665992,0.6562212071133775,-0.7255783774185541,-0.538294895147711,0.0,-0.8445791636007235,1.4619087972986087,-0.6316329782291067,0.0,0.0,-0.3852839362528623,-0.3812075413083086,0.12951589728007828,-0.6325330457811116,-0.5289197988214492,-0.643087671830594,-0.542062687574791,-0.7782066599596827,0.0,-0.5481463778862846,-0.5962020483436539,2.0558047890710807,-0.518387989896581,0.5065346950743487,0.0,-0.5184297790504588,-0.33670546234219945,-1.0686842790306281,-0.7272145816578609,-0.9558822124603552,2.139996701425513,-0.47552819316195855,-0.5074891837564381,-0.5309886049386779,0.27137123074709285,1.4727577893097992,-0.34826464886742914,0.0,-0.37524437930257537,-0.61696688413967,1.313526593821401,1.4652635507412486,-0.38698006657385836,-0.668546879871518,-0.5519275298761134,-0.48983649050047734,-0.5293632409625469
dm1,-0.4558676072181846,-0.3856004710849417,-0.730834319227033,-0.25264557631995765,0.6562212071133775,-0.043223672307367615,-0.5021685246568671,-0.4118662926817977,0.0,1.1471862764937768,-0.36464526374458534,-0.4430627842706188,0.0,0.0,-0.27865269733681464,-0.2531721631939926,-0.714218486399892,-0.4652504278816006,-0.37270950299014016,-0.47713309098120316,-0.3821817803661469,-0.5353181737330854,0.0,-0.39121585947150017,-0.43033148291193785,-0.5097517828790912,-0.40430579269803646,-0.6166586646066544,0.0,-0.37364234689072273,-0.2871832634470961,-0.7906936929743047,1.325803478310302,-0.6932209628116489,-0.2800560168056027,2.588793253957064,-0.37048925196539534,-0.36503155355959555,-0.6316329782291065,-0.3961467701269244,-0.2567220830739284,0.0,-0.2855957152031928,-0.44941524856409504,-0.3908940464153318,-0.3773622765363662,-0.24477837658633478,1.829121950698758,-0.366759390536758,2.2959661577717925,-0.3761993052859228
dm2,-0.47626317147770586,-0.37675057689975916,-0.695885145319696,-0.24356115022372893,-0.7255783774185541,-0.5021685246568671,0.03721183268920127,-0.35800295756574946,0.0,1.088966439176486,-0.35368421516410914,-0.4658109154936024,0.0,0.0,-0.2689518758240515,-0.2637897496303546,0.7856675486720928,-0.43434862841756194,-0.3949062579424568,-0.4525134753572828,-0.3727095029901402,-0.5313354518840623,0.0,-0.3719197503737518,-0.47290514618140195,-0.516171950118382,-0.3590393148329661,-0.5820277992439099,0.0,-0.3858718165706453,-0.22941573387056333,0.5607782560409341,-0.5244809263630913,-0.6498758103941273,-0.26537384898302796,-0.3536842151641104,-0.3825815766654789,2.4830636511256574,-0.6435381994422862,-0.37052227832174195,-0.24140625836710888,0.0,-0.2705619998306718,-0.42738410973122004,-0.38313051408846116,-0.36670611485969345,-0.26322992125835576,1.8732122207123165,-0.3605537649119157,-0.3692866998165078,2.4110230499320675
dm3,-0.29260752689736286,-0.24560222393820813,-0.533951809518685,-0.17414066172173118,-0.538294895147711,-0.4118662926817977,-0.35800295756574946,-0.0449881692080403,0.0,-0.4271210980886272,-0.2659498441962287,-0.34757603573446577,0.0,0.0,-0.19601428307463412,-0.18181818181818057,-0.4960961855722769,-0.33303758074836076,-0.25979337021913174,-0.3298984776640956,-0.24413653763134943,-0.3932225982403219,0.0,-0.268951875824051,5.3679750279354925,-0.37102079154518464,-0.25672208307392824,-0.4174642960645138,0.0,-0.26322992125835576,-0.1932469879202487,-0.5301903599280525,-0.3688421379583051,-0.5048216410688937,-0.19044534662682874,-0.23874983964314161,-0.26537384898302896,-0.24785521271576028,1.8571034194036704,-0.2723546903496706,-0.18504537000089896,0.0,-0.17318976288085833,-0.319438282499968,-0.2705619998306717,-0.2743516305843679,-0.16802476528352148,-0.33797956722913053,-0.25452638525123494,-0.2505413427410288,-0.25816911417308386
dm4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vm2,-0.5229612439386575,-0.4158551451244235,0.4984413628591393,-0.3012003887743846,-0.8445791636007235,1.1471862764937768,1.088966439176486,-0.4271210980886272,0.0,0.029423380975634513,-0.3728967126339098,-0.5143889538144224,0.0,0.0,-0.30160135623364104,-0.30512572076725336,0.45280515815733946,1.6361174233047122,-0.40169934950472835,-0.5219155938140462,-0.4015827053544601,-0.5819823894632173,0.0,2.070017282993881,-0.506529316407582,1.1726764820564952,-0.3796427235255562,0.9675666272047847,0.0,-0.38726966242424177,-0.2616165426451116,0.37160115482000755,1.132730666726174,-0.7633641999516562,-0.30408280457197434,-0.4077182393801502,-0.39705376707070106,2.018395589806082,-0.6776835993778714,2.032068190962255,-0.2789596661981479,0.0,-0.3246279718009862,-0.5045545756282204,-0.40292695452664135,-0.39129538355600246,3.1618621917545005,-0.4672510960336457,-0.4295465639130151,-0.4368163839762046,-0.41749468888544833
