,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
0,Orco -/- vs. Orco +/+ d,0.5,1.0,-1.0,0.0
1,Orco -/- vs. Orco +/+ da1,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
2,Orco -/- vs. Orco +/+ da2,0.0,1.0,-inf,0.0
3,Orco -/- vs. Orco +/+ da3,0.0,1.0,-inf,0.0
4,Orco -/- vs. Orco +/+ da4l,0.0,1.0,-inf,0.0
5,Orco -/- vs. Orco +/+ da4m,0.0,1.0,-inf,0.0
6,Orco -/- vs. Orco +/+ dc1,1.2857142857142858,0.7858331846515465,0.36257007938470837,0.24101074234535005
7,Orco -/- vs. Orco +/+ dc2,1.3333333333333333,1.0,0.41503749927884376,0.0
8,Orco -/- vs. Orco +/+ dc3,1.5,1.0,0.5849625007211562,0.0
9,Orco -/- vs. Orco +/+ dc4,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
10,Orco -/- vs. Orco +/+ dl1,1.0,1.0,0.0,0.0
11,Orco -/- vs. Orco +/+ dl2d,1.0,1.0,0.0,0.0
12,Orco -/- vs. Orco +/+ dl2v,2.0,0.6777322876074908,1.0,0.38900292505406225
13,Orco -/- vs. Orco +/+ dl3,0.0,1.0,-inf,0.0
14,Orco -/- vs. Orco +/+ dl4,0.0,0.4949494949494949,-inf,0.7032995520239634
15,Orco -/- vs. Orco +/+ dl5,0.6666666666666666,1.0,-0.5849625007211563,0.0
16,Orco -/- vs. Orco +/+ dm1,0.75,1.0,-0.4150374992788438,0.0
17,Orco -/- vs. Orco +/+ dm2,0.75,1.0,-0.4150374992788438,0.0
18,Orco -/- vs. Orco +/+ dm3,2.0,0.6777322876074908,1.0,0.38900292505406225
19,Orco -/- vs. Orco +/+ dm4,0.0,1.0,-inf,0.0
20,Orco -/- vs. Orco +/+ dm5,0.75,1.0,-0.4150374992788438,0.0
21,Orco -/- vs. Orco +/+ dm6,1.5,1.0,0.5849625007211562,0.0
22,Orco -/- vs. Orco +/+ dp1l,1.0,1.0,0.0,0.0
23,Orco -/- vs. Orco +/+ dp1m,0.75,0.7742117295551186,-0.4150374992788438,0.2559098904042507
24,Orco -/- vs. Orco +/+ v,0.0,1.0,-inf,0.0
25,Orco -/- vs. Orco +/+ va1d,2.0,0.6777322876074908,1.0,0.38900292505406225
26,Orco -/- vs. Orco +/+ va1v,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
27,Orco -/- vs. Orco +/+ va2,0.625,0.5535550107112578,-0.6780719051126377,0.5913941447597981
28,Orco -/- vs. Orco +/+ va3,1.0,1.0,0.0,0.0
29,Orco -/- vs. Orco +/+ va4,2.0,1.0,1.0,0.0
30,Orco -/- vs. Orco +/+ va5,0.75,1.0,-0.4150374992788438,0.0
31,Orco -/- vs. Orco +/+ va6,0.625,0.5535550107112578,-0.6780719051126377,0.5913941447597981
32,Orco -/- vs. Orco +/+ va7l,1.0,1.0,0.0,0.0
33,Orco -/- vs. Orco +/+ va7m,1.5,1.0,0.5849625007211562,0.0
34,Orco -/- vs. Orco +/+ vc1,1.0,1.0,0.0,0.0
35,Orco -/- vs. Orco +/+ vc2,2.0,0.6777322876074908,1.0,0.38900292505406225
36,Orco -/- vs. Orco +/+ vc3l,1.1666666666666667,1.0,0.22239242133644802,0.0
37,Orco -/- vs. Orco +/+ vc3m,1.0,1.0,0.0,0.0
38,Orco -/- vs. Orco +/+ vc4,2.0,1.0,1.0,0.0
39,Orco -/- vs. Orco +/+ vc5,0.0,0.4949494949494949,-inf,0.7032995520239634
40,Orco -/- vs. Orco +/+ vl1,1.0,1.0,0.0,0.0
41,Orco -/- vs. Orco +/+ vl2a,2.0,0.4869705933364414,1.0,0.7195515410154198
42,Orco -/- vs. Orco +/+ vl2p,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
43,Orco -/- vs. Orco +/+ vm1,1.5,1.0,0.5849625007211562,0.0
44,Orco -/- vs. Orco +/+ vm2,1.8,0.3880624715783619,0.8479969065549501,0.9465889430968751
45,Orco -/- vs. Orco +/+ vm3,1.3333333333333333,1.0,0.41503749927884376,0.0
46,Orco -/- vs. Orco +/+ vm4,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
47,Orco -/- vs. Orco +/+ vm5d,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
48,Orco -/- vs. Orco +/+ vm5v,1.0,1.0,0.0,0.0
49,Orco -/- vs. Orco +/+ vm7d,0.5,1.0,-1.0,0.0
50,Orco -/- vs. Orco +/+ vm7v,1.0,1.0,0.0,0.0
51,Orco -/- vs. Orco +/+ shuffle d,0.5,1.0,-1.0,0.0
52,Orco -/- vs. Orco +/+ shuffle da1,5.0,0.20440158503099357,2.321928094887362,1.5876686661278911
53,Orco -/- vs. Orco +/+ shuffle da2,0.0,0.24242424242424235,-inf,1.4170660197866447
54,Orco -/- vs. Orco +/+ shuffle da3,0.3333333333333333,0.6173070915338954,-1.5849625007211563,0.48238866166205036
55,Orco -/- vs. Orco +/+ shuffle da4l,0.0,0.05628449442882433,-inf,2.87733619155871
56,Orco -/- vs. Orco +/+ shuffle da4m,0.0,0.4949494949494949,-inf,0.7032995520239634
57,Orco -/- vs. Orco +/+ shuffle dc1,1.5,0.5766469929158478,0.5849625007211562,0.5505249970712972
58,Orco -/- vs. Orco +/+ shuffle dc2,4.0,0.3621784858898261,2.0,1.0156181337237444
59,Orco -/- vs. Orco +/+ shuffle dc3,0.75,1.0,-0.4150374992788438,0.0
60,Orco -/- vs. Orco +/+ shuffle dc4,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
61,Orco -/- vs. Orco +/+ shuffle dl1,0.6666666666666666,1.0,-0.5849625007211563,0.0
62,Orco -/- vs. Orco +/+ shuffle dl2d,4.0,0.3621784858898261,2.0,1.0156181337237444
63,Orco -/- vs. Orco +/+ shuffle dl2v,2.0,0.6777322876074908,1.0,0.38900292505406225
64,Orco -/- vs. Orco +/+ shuffle dl3,0.0,0.24242424242424235,-inf,1.4170660197866447
65,Orco -/- vs. Orco +/+ shuffle dl4,0.0,0.4949494949494949,-inf,0.7032995520239634
66,Orco -/- vs. Orco +/+ shuffle dl5,0.5,0.6777322876074908,-1.0,0.38900292505406225
67,Orco -/- vs. Orco +/+ shuffle dm1,0.0,0.24242424242424235,-inf,1.4170660197866447
68,Orco -/- vs. Orco +/+ shuffle dm2,1.5,1.0,0.5849625007211562,0.0
69,Orco -/- vs. Orco +/+ shuffle dm3,2.0,0.6777322876074908,1.0,0.38900292505406225
70,Orco -/- vs. Orco +/+ shuffle dm4,0.25,0.3621784858898261,-2.0,1.0156181337237444
71,Orco -/- vs. Orco +/+ shuffle dm5,1.0,1.0,0.0,0.0
72,Orco -/- vs. Orco +/+ shuffle dm6,0.75,1.0,-0.4150374992788438,0.0
73,Orco -/- vs. Orco +/+ shuffle dp1l,2.5,0.43603150331310936,1.3219280948873624,0.8300407829380949
74,Orco -/- vs. Orco +/+ shuffle dp1m,2.0,0.4869705933364414,1.0,0.7195515410154198
75,Orco -/- vs. Orco +/+ shuffle v,0.3333333333333333,0.6173070915338954,-1.5849625007211563,0.48238866166205036
76,Orco -/- vs. Orco +/+ shuffle va1d,0.8,1.0,-0.3219280948873623,0.0
77,Orco -/- vs. Orco +/+ shuffle va1v,1.5,1.0,0.5849625007211562,0.0
78,Orco -/- vs. Orco +/+ shuffle va2,2.5,0.43603150331310936,1.3219280948873624,0.8300407829380949
79,Orco -/- vs. Orco +/+ shuffle va3,9.0,0.01566048989604553,3.169925001442312,4.156614305636408
80,Orco -/- vs. Orco +/+ shuffle va4,0.4,0.43603150331310936,-1.3219280948873622,0.8300407829380949
81,Orco -/- vs. Orco +/+ shuffle va5,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
82,Orco -/- vs. Orco +/+ shuffle va6,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
83,Orco -/- vs. Orco +/+ shuffle va7l,0.5,1.0,-1.0,0.0
84,Orco -/- vs. Orco +/+ shuffle va7m,1.0,1.0,0.0,0.0
85,Orco -/- vs. Orco +/+ shuffle vc1,0.5,0.6777322876074908,-1.0,0.38900292505406225
86,Orco -/- vs. Orco +/+ shuffle vc2,2.0,0.6777322876074908,1.0,0.38900292505406225
87,Orco -/- vs. Orco +/+ shuffle vc3l,7.0,0.05944608778347597,2.807354922057604,2.822685464848794
88,Orco -/- vs. Orco +/+ shuffle vc3m,0.6666666666666666,1.0,-0.5849625007211563,0.0
89,Orco -/- vs. Orco +/+ shuffle vc4,1.0,1.0,0.0,0.0
90,Orco -/- vs. Orco +/+ shuffle vc5,0.4,0.43603150331310936,-1.3219280948873622,0.8300407829380949
91,Orco -/- vs. Orco +/+ shuffle vl1,0.5,1.0,-1.0,0.0
92,Orco -/- vs. Orco +/+ shuffle vl2a,3.0,0.26866020752216113,1.584962500721156,1.3143078669134094
93,Orco -/- vs. Orco +/+ shuffle vl2p,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
94,Orco -/- vs. Orco +/+ shuffle vm1,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
95,Orco -/- vs. Orco +/+ shuffle vm2,4.5,0.051120933745686506,2.169925001442312,2.973561203318984
96,Orco -/- vs. Orco +/+ shuffle vm3,4.0,0.3621784858898261,2.0,1.0156181337237444
97,Orco -/- vs. Orco +/+ shuffle vm4,1.5,1.0,0.5849625007211562,0.0
98,Orco -/- vs. Orco +/+ shuffle vm5d,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
99,Orco -/- vs. Orco +/+ shuffle vm5v,1.0,1.0,0.0,0.0
100,Orco -/- vs. Orco +/+ shuffle vm7d,0.25,0.3621784858898261,-2.0,1.0156181337237444
101,Orco -/- vs. Orco +/+ shuffle vm7v,2.0,1.0,1.0,0.0
102,Orco -/- vs. Orco +/+ fixed d,0.5,1.0,-1.0,0.0
103,Orco -/- vs. Orco +/+ fixed da1,2.5,0.43603150331310936,1.3219280948873624,0.8300407829380949
104,Orco -/- vs. Orco +/+ fixed da2,0.0,1.0,-inf,0.0
105,Orco -/- vs. Orco +/+ fixed da3,0.0,1.0,-inf,0.0
106,Orco -/- vs. Orco +/+ fixed da4l,0.0,1.0,-inf,0.0
107,Orco -/- vs. Orco +/+ fixed da4m,0.0,0.4949494949494949,-inf,0.7032995520239634
108,Orco -/- vs. Orco +/+ fixed dc1,3.0,0.12124495753823494,1.584962500721156,2.109942337342847
109,Orco -/- vs. Orco +/+ fixed dc2,0.6666666666666666,0.7406664537744649,-0.5849625007211563,0.3002048848839284
110,Orco -/- vs. Orco +/+ fixed dc3,1.0,1.0,0.0,0.0
111,Orco -/- vs. Orco +/+ fixed dc4,2.5,0.43603150331310936,1.3219280948873624,0.8300407829380949
112,Orco -/- vs. Orco +/+ fixed dl1,1.0,1.0,0.0,0.0
113,Orco -/- vs. Orco +/+ fixed dl2d,4.0,0.3621784858898261,2.0,1.0156181337237444
114,Orco -/- vs. Orco +/+ fixed dl2v,0.0,0.11746329272102463,-inf,2.141629396579969
115,Orco -/- vs. Orco +/+ fixed dl3,0.0,1.0,-inf,0.0
116,Orco -/- vs. Orco +/+ fixed dl4,0.0,1.0,-inf,0.0
117,Orco -/- vs. Orco +/+ fixed dl5,2.0,1.0,1.0,0.0
118,Orco -/- vs. Orco +/+ fixed dm1,0.75,1.0,-0.4150374992788438,0.0
119,Orco -/- vs. Orco +/+ fixed dm2,1.5,1.0,0.5849625007211562,0.0
120,Orco -/- vs. Orco +/+ fixed dm3,0.0,0.11746329272102463,-inf,2.141629396579969
121,Orco -/- vs. Orco +/+ fixed dm4,0.0,1.0,-inf,0.0
122,Orco -/- vs. Orco +/+ fixed dm5,0.5,0.4869705933364414,-1.0,0.7195515410154198
123,Orco -/- vs. Orco +/+ fixed dm6,0.0,0.24242424242424235,-inf,1.4170660197866447
124,Orco -/- vs. Orco +/+ fixed dp1l,0.8333333333333334,1.0,-0.2630344058337938,0.0
125,Orco -/- vs. Orco +/+ fixed dp1m,0.5,0.19225049985341525,-1.0,1.6489560705819992
126,Orco -/- vs. Orco +/+ fixed v,0.0,1.0,-inf,0.0
127,Orco -/- vs. Orco +/+ fixed va1d,4.0,0.3621784858898261,2.0,1.0156181337237444
128,Orco -/- vs. Orco +/+ fixed va1v,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
129,Orco -/- vs. Orco +/+ fixed va2,0.8333333333333334,1.0,-0.2630344058337938,0.0
130,Orco -/- vs. Orco +/+ fixed va3,1.125,1.0,0.16992500144231237,0.0
131,Orco -/- vs. Orco +/+ fixed va4,0.6666666666666666,1.0,-0.5849625007211563,0.0
132,Orco -/- vs. Orco +/+ fixed va5,0.6,0.7149836629646896,-0.7369655941662062,0.3354955855496059
133,Orco -/- vs. Orco +/+ fixed va6,0.7142857142857143,0.7596065442291386,-0.4854268271702417,0.2749546847189031
134,Orco -/- vs. Orco +/+ fixed va7l,0.0,1.0,-inf,0.0
135,Orco -/- vs. Orco +/+ fixed va7m,0.0,0.24242424242424235,-inf,1.4170660197866447
136,Orco -/- vs. Orco +/+ fixed vc1,1.0,1.0,0.0,0.0
137,Orco -/- vs. Orco +/+ fixed vc2,4.0,0.3621784858898261,2.0,1.0156181337237444
138,Orco -/- vs. Orco +/+ fixed vc3l,0.7777777777777778,0.7858331846515465,-0.36257007938470825,0.24101074234535005
139,Orco -/- vs. Orco +/+ fixed vc3m,0.6666666666666666,1.0,-0.5849625007211563,0.0
140,Orco -/- vs. Orco +/+ fixed vc4,2.0,1.0,1.0,0.0
141,Orco -/- vs. Orco +/+ fixed vc5,0.0,0.4949494949494949,-inf,0.7032995520239634
142,Orco -/- vs. Orco +/+ fixed vl1,0.5,1.0,-1.0,0.0
143,Orco -/- vs. Orco +/+ fixed vl2a,2.0,0.4869705933364414,1.0,0.7195515410154198
144,Orco -/- vs. Orco +/+ fixed vl2p,1.25,1.0,0.32192809488736235,0.0
145,Orco -/- vs. Orco +/+ fixed vm1,1.5,1.0,0.5849625007211562,0.0
146,Orco -/- vs. Orco +/+ fixed vm2,2.25,0.23360276838765925,1.1699250014423124,1.4541331771237185
147,Orco -/- vs. Orco +/+ fixed vm3,4.0,0.3621784858898261,2.0,1.0156181337237444
148,Orco -/- vs. Orco +/+ fixed vm4,1.5,1.0,0.5849625007211562,0.0
149,Orco -/- vs. Orco +/+ fixed vm5d,1.6666666666666667,0.7149836629646896,0.7369655941662062,0.3354955855496059
150,Orco -/- vs. Orco +/+ fixed vm5v,0.6666666666666666,1.0,-0.5849625007211563,0.0
151,Orco -/- vs. Orco +/+ fixed vm7d,1.0,1.0,0.0,0.0
152,Orco -/- vs. Orco +/+ fixed vm7v,0.6666666666666666,1.0,-0.5849625007211563,0.0
153,Orco +/+ vs. Orco +/+ shuffle d,1.0,1.0,0.0,0.0
154,Orco +/+ vs. Orco +/+ shuffle da1,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
155,Orco +/+ vs. Orco +/+ shuffle da2,0.0,0.24242424242424235,-inf,1.4170660197866447
156,Orco +/+ vs. Orco +/+ shuffle da3,0.0,0.24242424242424235,-inf,1.4170660197866447
157,Orco +/+ vs. Orco +/+ shuffle da4l,0.2,0.20440158503099357,-2.321928094887362,1.5876686661278911
158,Orco +/+ vs. Orco +/+ shuffle da4m,0.5,1.0,-1.0,0.0
159,Orco +/+ vs. Orco +/+ shuffle dc1,1.1666666666666667,1.0,0.22239242133644802,0.0
160,Orco +/+ vs. Orco +/+ shuffle dc2,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
161,Orco +/+ vs. Orco +/+ shuffle dc3,0.5,0.6777322876074908,-1.0,0.38900292505406225
162,Orco +/+ vs. Orco +/+ shuffle dc4,1.0,1.0,0.0,0.0
163,Orco +/+ vs. Orco +/+ shuffle dl1,0.6666666666666666,1.0,-0.5849625007211563,0.0
164,Orco +/+ vs. Orco +/+ shuffle dl2d,4.0,0.3621784858898261,2.0,1.0156181337237444
165,Orco +/+ vs. Orco +/+ shuffle dl2v,1.0,1.0,0.0,0.0
166,Orco +/+ vs. Orco +/+ shuffle dl3,0.0,0.24242424242424235,-inf,1.4170660197866447
167,Orco +/+ vs. Orco +/+ shuffle dl4,1.0,1.0,0.0,0.0
168,Orco +/+ vs. Orco +/+ shuffle dl5,0.75,1.0,-0.4150374992788438,0.0
169,Orco +/+ vs. Orco +/+ shuffle dm1,0.0,0.11746329272102463,-inf,2.141629396579969
170,Orco +/+ vs. Orco +/+ shuffle dm2,2.0,0.6777322876074908,1.0,0.38900292505406225
171,Orco +/+ vs. Orco +/+ shuffle dm3,1.0,1.0,0.0,0.0
172,Orco +/+ vs. Orco +/+ shuffle dm4,0.0,0.11746329272102463,-inf,2.141629396579969
173,Orco +/+ vs. Orco +/+ shuffle dm5,1.3333333333333333,1.0,0.41503749927884376,0.0
174,Orco +/+ vs. Orco +/+ shuffle dm6,0.5,0.6777322876074908,-1.0,0.38900292505406225
175,Orco +/+ vs. Orco +/+ shuffle dp1l,2.5,0.43603150331310936,1.3219280948873624,0.8300407829380949
176,Orco +/+ vs. Orco +/+ shuffle dp1m,2.6666666666666665,0.19971707940132485,1.4150374992788437,1.6108535169228808
177,Orco +/+ vs. Orco +/+ shuffle v,0.0,0.24242424242424235,-inf,1.4170660197866447
178,Orco +/+ vs. Orco +/+ shuffle va1d,0.4,0.43603150331310936,-1.3219280948873622,0.8300407829380949
179,Orco +/+ vs. Orco +/+ shuffle va1v,0.5,1.0,-1.0,0.0
180,Orco +/+ vs. Orco +/+ shuffle va2,4.0,0.09164715528813336,2.0,2.3898093440419315
181,Orco +/+ vs. Orco +/+ shuffle va3,9.0,0.01566048989604553,3.169925001442312,4.156614305636408
182,Orco +/+ vs. Orco +/+ shuffle va4,0.2,0.20440158503099357,-2.321928094887362,1.5876686661278911
183,Orco +/+ vs. Orco +/+ shuffle va5,4.0,0.3621784858898261,2.0,1.0156181337237444
184,Orco +/+ vs. Orco +/+ shuffle va6,2.6666666666666665,0.19971707940132485,1.4150374992788437,1.6108535169228808
185,Orco +/+ vs. Orco +/+ shuffle va7l,0.5,1.0,-1.0,0.0
186,Orco +/+ vs. Orco +/+ shuffle va7m,0.6666666666666666,1.0,-0.5849625007211563,0.0
187,Orco +/+ vs. Orco +/+ shuffle vc1,0.5,0.6777322876074908,-1.0,0.38900292505406225
188,Orco +/+ vs. Orco +/+ shuffle vc2,1.0,1.0,0.0,0.0
189,Orco +/+ vs. Orco +/+ shuffle vc3l,6.0,0.11174961771814729,2.584962500721156,2.191494466361001
190,Orco +/+ vs. Orco +/+ shuffle vc3m,0.6666666666666666,1.0,-0.5849625007211563,0.0
191,Orco +/+ vs. Orco +/+ shuffle vc4,0.5,1.0,-1.0,0.0
192,Orco +/+ vs. Orco +/+ shuffle vc5,0.0,0.05628449442882433,-inf,2.87733619155871
193,Orco +/+ vs. Orco +/+ shuffle vl1,0.5,1.0,-1.0,0.0
194,Orco +/+ vs. Orco +/+ shuffle vl2a,1.5,1.0,0.5849625007211562,0.0
195,Orco +/+ vs. Orco +/+ shuffle vl2p,1.0,1.0,0.0,0.0
196,Orco +/+ vs. Orco +/+ shuffle vm1,2.0,1.0,1.0,0.0
197,Orco +/+ vs. Orco +/+ shuffle vm2,2.5,0.43603150331310936,1.3219280948873624,0.8300407829380949
198,Orco +/+ vs. Orco +/+ shuffle vm3,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
199,Orco +/+ vs. Orco +/+ shuffle vm4,0.5,1.0,-1.0,0.0
200,Orco +/+ vs. Orco +/+ shuffle vm5d,1.0,1.0,0.0,0.0
201,Orco +/+ vs. Orco +/+ shuffle vm5v,1.0,1.0,0.0,0.0
202,Orco +/+ vs. Orco +/+ shuffle vm7d,0.5,0.6777322876074908,-1.0,0.38900292505406225
203,Orco +/+ vs. Orco +/+ shuffle vm7v,2.0,1.0,1.0,0.0
204,Orco +/+ vs. Orco +/+ fixed d,1.0,1.0,0.0,0.0
205,Orco +/+ vs. Orco +/+ fixed da1,1.5,1.0,0.5849625007211562,0.0
206,Orco +/+ vs. Orco +/+ fixed da2,0.0,1.0,-inf,0.0
207,Orco +/+ vs. Orco +/+ fixed da3,0.0,1.0,-inf,0.0
208,Orco +/+ vs. Orco +/+ fixed da4l,0.0,1.0,-inf,0.0
209,Orco +/+ vs. Orco +/+ fixed da4m,0.5,1.0,-1.0,0.0
210,Orco +/+ vs. Orco +/+ fixed dc1,2.3333333333333335,0.31784001971109244,1.222392421336448,1.1462071054600251
211,Orco +/+ vs. Orco +/+ fixed dc2,0.5,0.4869705933364414,-1.0,0.7195515410154198
212,Orco +/+ vs. Orco +/+ fixed dc3,0.6666666666666666,1.0,-0.5849625007211563,0.0
213,Orco +/+ vs. Orco +/+ fixed dc4,1.5,1.0,0.5849625007211562,0.0
214,Orco +/+ vs. Orco +/+ fixed dl1,1.0,1.0,0.0,0.0
215,Orco +/+ vs. Orco +/+ fixed dl2d,4.0,0.3621784858898261,2.0,1.0156181337237444
216,Orco +/+ vs. Orco +/+ fixed dl2v,0.0,0.4949494949494949,-inf,0.7032995520239634
217,Orco +/+ vs. Orco +/+ fixed dl3,0.0,1.0,-inf,0.0
218,Orco +/+ vs. Orco +/+ fixed dl4,2.0,1.0,1.0,0.0
219,Orco +/+ vs. Orco +/+ fixed dl5,3.0,0.6173070915338954,1.584962500721156,0.48238866166205036
220,Orco +/+ vs. Orco +/+ fixed dm1,1.0,1.0,0.0,0.0
221,Orco +/+ vs. Orco +/+ fixed dm2,2.0,0.6777322876074908,1.0,0.38900292505406225
