,component,variance explained Orco+,variance explained Orco-_fixed,confidence interval lower,confidence interval higher
0,0,0.06722351061253194,0.06379860504777116,0.006853412764767801,0.007466966582669779
1,1,0.05790421059972106,0.05694292729472926,0.00499958886369347,0.0054705422049713195
2,2,0.051312596123766346,0.05171802322915968,0.004255348138041515,0.004859486991023551
3,3,0.04786882235681353,0.048010737814931245,0.0035723404822576438,0.004046382684510817
4,4,0.04563071302804174,0.04502280551222276,0.003079574167321422,0.00319763467689161
5,5,0.0384842004422715,0.042457689769038624,0.002700280995015597,0.002959489195681092
6,6,0.0349987160782931,0.040129477357634,0.0025600913279616097,0.002806446751101581
7,7,0.0344670720383876,0.03804138717624824,0.002258761435395336,0.002444168274181112
8,8,0.03304538491969695,0.036072257373266324,0.002186858213872128,0.002462871139233845
9,9,0.03095846829882649,0.0342451683567989,0.002057350597001191,0.0022529354041325514
10,10,0.03010818259189021,0.03253530833968468,0.0018611933590433095,0.0018856129990797235
11,11,0.029038803154504588,0.030974735314837566,0.0017652872919982528,0.0018351867702966172
12,12,0.028106715499627784,0.029488109661578145,0.0017709744731298285,0.0019298519967770392
13,13,0.026237133014402402,0.028097133142745284,0.001789511037019069,0.0017231215367711356
14,14,0.025434543736729365,0.026742753210806575,0.0016005778074479927,0.0017251487409557231
15,15,0.02440482461816095,0.025464024658278836,0.0015280850483261887,0.0017210160285110465
16,16,0.02358628437531225,0.024227289312264904,0.0015813619209495249,0.0015479971357172141
17,17,0.0215677775269035,0.02308794806084467,0.0014931562053748931,0.0014616827770164015
18,18,0.021071640099277242,0.021959980593272917,0.0014500570172920335,0.0015039649003485457
19,19,0.020643473292536237,0.020893559436421107,0.0013841780505437669,0.0014198141964787726
