,component,variance explained Orco-,variance explained Orco-_fixed,confidence interval lower,confidence interval higher
0,0,0.0726609846526,0.06369609551969743,0.006506039856032292,0.00832266660693154
1,1,0.05689762206628948,0.056854290014656673,0.0050064144565584515,0.005998932949383702
2,2,0.05251612864170739,0.05172731989395023,0.003870411957910873,0.004296281129940606
3,3,0.04859383778747596,0.0480587852887317,0.0036442816720348298,0.003747201912312516
4,4,0.04352412750373957,0.04506848950235341,0.003176891820585878,0.0034014126515338056
5,5,0.04006650825477179,0.04241266205821378,0.0028913367669994236,0.0029279832022830604
6,6,0.039377105680215886,0.04003657687007973,0.0025647983192781942,0.0026313469405583184
7,7,0.03781774799754089,0.03800715978809815,0.0022866347967719566,0.00254551287325179
8,8,0.035474001328954924,0.03603935973143345,0.002111867195769418,0.002318718518624377
9,9,0.03395568762305505,0.034255976000027104,0.002091097109766335,0.0021582154910195703
10,10,0.0315937132482142,0.03261302180556852,0.002063376640584799,0.0021280188344598577
11,11,0.029367330139781163,0.03098698385278165,0.0018073586589199206,0.001943441587461469
12,12,0.029152875072897412,0.0295229831079595,0.0017400094958368723,0.001895585458580703
13,13,0.02884707804237335,0.028094251451791046,0.001697871440238221,0.001809518807030102
14,14,0.026175013108483452,0.02674089093079692,0.0015966257125890441,0.0017104748291432957
15,15,0.02559937955113523,0.02548739168163199,0.0015776804694028236,0.0015477900653001649
16,16,0.023662476636445877,0.024254637673340605,0.001492982049066005,0.0015832141122698318
17,17,0.022457711439047116,0.023094840368076363,0.001567685074819837,0.0014542668603502416
18,18,0.021364540801691194,0.021989992399074853,0.0014409126682227887,0.001391668553444303
19,19,0.02089422139638044,0.020959300099376264,0.0013348879674592688,0.0014258678413650479
