,comparison,ratio,p-value,Log fold change (base 2),-Log p-value (base 10)
0,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' d,8.0,1.0,3.0,0.0
1,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' da1,7.5,0.6852613414261507,2.9068905956085187,0.37795499315014014
2,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' da2,0.0,0.10191082802547823,-inf,2.2836570831085217
3,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' da3,0.0,1.0,-inf,0.0
4,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' da4l,0.0,1.0,-inf,0.0
5,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' da4m,0.0,1.0,-inf,0.0
6,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dc1,34.0,0.12423055907084216,5.087462841250339,2.0856160924781633
7,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dc2,18.0,0.6949607568912353,4.169925001442312,0.3638998999162451
8,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dc3,28.0,0.3082204658916272,4.807354922057604,1.1769399537205771
9,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dc4,0.0,0.5994696720896227,-inf,0.5117098944687426
10,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dl1,0.0,0.22117832359460732,-inf,1.508786008735166
11,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dl2d,0.0,1.0,-inf,0.0
12,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dl2v,0.0,1.0,-inf,0.0
13,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dl3,9.0,1.0,3.169925001442312,0.0
14,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dl4,0.0,1.0,-inf,0.0
15,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dl5,11.5,1.0,3.523561956057013,0.0
16,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dm1,3.5,0.2295354108946234,1.8073549220576042,1.4716979655467766
17,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dm2,8.0,1.0,3.0,0.0
18,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dm3,0.0,1.0,-inf,0.0
19,Orco -/- alpha/beta vs. Orco -/- alpha'/beta' dm4,0.0,1.0,-inf,0.0
