,vm3,dl2v,va2,va4,dp1m,dm1,dm2,dm3,dm4,vm2,d,da1,da2,da3,da4l,da4m,dc1,dc2,dc3,dc4,dl1,dl2d,dl3,dl4,dl5,dm5,dm6,dp1l,v,va1d,va1v,va3,va5,va6,va7l,va7m,vc1,vc2,vc3l,vc3m,vc4,vc5,vl1,vl2a,vl2p,vm1,vm4,vm5d,vm5v,vm7d,vm7v
vm3,-1.080194707022515,0.24860371373198467,0.32200102721152846,0.24965640419465365,0.1747408113322069,0.2659001813576081,-0.8802757363385584,-0.9021256544811301,-0.9108161297547354,1.3538704068091931,-0.9265192886231928,-0.882968588481819,-0.9137249550247217,-0.8999979918116631,-0.8785819210548378,-0.8709226030047277,0.26273169005930563,-0.9155330892435246,0.24991924135083102,0.20522701928999212,-0.8928846481556245,-0.933686135835505,-0.8686933446416085,0.2863879916933004,-0.9068238785052106,0.23828145791502595,0.2090624052617792,0.28597637663359937,-0.871050367430241,0.24852818076229544,0.2935089172298736,3.6213672639511065,1.3046039747749414,0.2587794162460511,-0.8657151802721045,1.2975867847886355,-0.918671291450627,-0.8523203337977788,1.3962142466738245,-0.8979671161095709,-0.856409336565722,-0.9161716526003486,-0.8896114244037605,1.3515083224075046,0.19260306268961525,-0.9137135247853914,0.29886974145933815,0.21821678584134646,-0.850329414247417,-0.901702047966671,-0.8879028018587837
dl2v,0.24860371373198467,-1.0138850101291887,-0.9039294261404208,-0.8056099732864369,0.27998300900180534,1.433957989909388,0.23701351615049995,0.23339639700894474,0.23598479732244715,0.20272527062180484,-0.9089729585627453,-0.8846910015961972,-0.8917102053927359,-0.8556603847287055,-0.8437654132750606,-0.8692067668757806,1.4757033402523883,0.23629407495041008,0.24676111115220464,-0.8619243309122895,-0.8614145015460329,0.18660849295324258,-0.8774169675757634,-0.8657437595437242,0.2134434036468794,0.25690659073433886,-0.8899906331879228,-0.8940922285830951,-0.9093467629182288,-0.9251585154941051,0.23402252075867105,0.30291456368366837,-0.8626241480352881,1.497819306232167,-0.8718052546074079,0.2801704581375925,0.2774797930995663,0.3368135328396215,-0.9015187370973946,0.21342572582911784,0.2710932087122948,0.19579950069975172,-0.8699906679854523,0.21680388538850703,-0.903309487737897,-0.8858084157184498,-0.8487482474228505,2.4956944588947474,1.4590033887557428,0.18463476101557638,-0.8622855032968995
va2,0.32200102721152846,-0.9039294261404208,0.9441035161362177,-0.917746254777222,0.2384769181344404,5.932705128721499,0.26434307018925784,2.4419935271405158,-0.9255787882255444,-0.9325447947246803,0.31469977746719524,1.4960508694464862,-0.8469922884372996,-0.8496959003995859,0.22745655424126998,-0.8753849524648238,0.24090236992559502,0.17290061657482922,2.4202378198441736,-0.9196294748967208,1.3433209885189406,-0.8361654004036219,0.2870688655518261,-0.8478464456028703,2.349198952757636,4.830218669377261,1.4804682494161676,0.2666748774723109,-0.9060833610697887,-0.9192690795349735,-0.8537047340192229,2.608041919642115,0.24685730770037523,-0.869990667985452,0.2904037419614124,0.25052947654630825,0.2678590979467662,-0.935049164424372,1.4587814815683204,0.2108571550943872,0.24819623394296889,-0.8580342364664073,-0.8306535100761614,0.26223989163750827,0.2548223083153375,0.23384986184544054,0.25006176376663963,0.2787491027883917,2.613726973815387,-0.9006910135412963,-0.8725429555100224
va4,0.24965640419465365,-0.8056099732864369,-0.917746254777222,-1.7859806513620033,-0.8792480319878461,-0.8345785917432222,-0.8900537868231341,-0.8898533910017303,-0.8686219669277794,0.2202264078252627,-0.8986480147721031,0.21189696881215403,-0.861710232029565,-0.8508882162933858,-0.8697064949507252,-0.8878903453768829,0.2494352543314329,0.25064492557515594,1.457053370171168,-0.8707076723706122,-0.8578135471363135,0.30934818997830194,-0.9307178245515314,-0.8481734703418148,0.2364287522387302,0.25372757517351807,-0.8728412860168505,-0.9222383627686291,-0.900538600825683,0.23231990316136306,-0.8876831857469233,1.44951648752359,0.24773364177353427,0.2518885779416561,-0.8715983544186823,-0.8512340258824654,-0.876737866706729,-0.9112354620141437,-0.8895030662992981,-0.8501180801561592,0.27306118114712447,0.23152179402715983,-0.8735577035250951,-0.8760662022162863,0.2543117422557809,-0.850451356262515,-0.8805488217885497,-0.8531145054348277,-0.9198414528481448,-0.8491617062780787,-0.8650745155659113
dp1m,0.1747408113322069,0.27998300900180534,0.2384769181344404,-0.8792480319878461,3.700561533930496,1.3693541187300415,1.4224241753035183,0.2093227103947989,-0.9029808558118214,-0.8560113299982604,-0.9300609429107887,1.421134598923662,-0.9329112694991716,-0.8776451062433602,0.19793598816103095,-0.8872605730306437,4.00268327550918,1.4457147518012188,3.5006811155802016,0.22808548268246098,0.23614402191446904,-0.9125348696409863,0.2682351574860849,-0.8887764809064194,0.25970401629422885,1.2733083324847005,1.2760021698293706,3.7384927776164694,-0.8758812496691674,1.355434638775304,2.436317776146497,7.0164246198217,-0.8895362603259754,1.2824387366392893,-0.8674300145397307,-0.921365417093751,-0.8849225751630946,1.4281468883303656,1.3716793941277112,0.288587560606701,0.20141400136828572,1.5478763340180588,-0.8404352369557315,1.3492606745517657,3.590973392669319,0.21912712310215138,0.24562207218008145,1.3347949232240217,2.5169581907595213,-0.8620461083981901,0.22684308942164516
dm1,0.2659001813576081,1.433957989909388,5.932705128721499,-0.8345785917432222,1.3693541187300415,0.7373428621568635,0.2595312853512041,2.508172390450987,0.2845953530080153,0.2791166271556242,-0.8266120454544222,-0.8494370711469288,-0.8977034965619277,-0.8322810135529176,0.32400437629004486,-0.8979843471400666,0.30648822653393043,-0.8602662389826778,2.668833771007559,-0.8743703859053912,0.3475546383692537,0.2774242063565872,-0.8814368613476444,-0.8876612472095171,-0.9037320706057342,1.4106367474160961,1.3762962190748005,1.4147387905914657,-0.9201439878779535,-0.8766812333116479,0.32063433109580136,1.398544748063994,0.26575067308486516,-0.8823024709405486,0.30827653851716214,2.676761078281151,-0.8561579819073822,0.34485055881272375,1.3987768446427495,-0.9080558924210994,-0.86257413784634,0.234217367376656,-0.8769081332905015,1.3151417468575395,-0.8659998252448508,-0.905233603103471,0.3115066300041148,-0.9104188610548495,1.4948776485172828,-0.887900447079692,0.3036364083494472
dm2,-0.8802757363385584,0.23701351615049995,0.26434307018925784,-0.8900537868231341,1.4224241753035183,0.2595312853512041,-0.7476189351748292,-0.8680923883008019,1.4937654183438154,-0.8787206457212372,0.2900453436836023,1.3710928346970959,-0.8920071213719811,-0.8841621083590899,-0.8890007769958216,-0.8666333989008738,-0.8324307692889084,1.4410812916116071,1.4412614117628206,0.21837386230205663,0.2710131284555197,-0.8565573661522419,-0.8940826471077652,-0.9397174843817049,1.3441445085579278,2.443430093530942,0.24746072476265366,-0.8949569080679697,-0.9159303808606227,-0.8584089781627348,-0.8385283638022691,-0.8794973006434954,0.2290037071042721,1.282121529512068,-0.8723762768804673,-0.8710473362011938,-0.8642202901056989,-0.8574371353564211,4.8746514613578045,-0.9047599965838345,-0.8666876298473863,-0.8911895082673127,-0.8850913452857999,0.22837974906331543,-0.8942782143432622,0.20659775196421398,-0.8573435684793168,1.345979566716115,0.3158024332133031,-0.872057502466169,-0.9198149038568173
dm3,-0.9021256544811301,0.23339639700894474,2.4419935271405158,-0.8898533910017303,0.2093227103947989,2.508172390450987,-0.8680923883008019,-1.624387017544922,-0.8813052984784661,-0.894179530136527,0.28531150397666083,-0.8532197843179907,-0.879063335839275,-0.8562519491031083,-0.8821380163886923,-0.9078797982363834,-0.9285908770199445,-0.9203312353119829,2.7340628768938715,0.254311742255781,-0.8896474529100649,-0.9104524602293547,-0.8963399888249969,-0.8999183086415553,-0.8886678575369534,-0.8764747951937739,0.18822917985901655,-0.8679072236693067,-0.9290180175833174,-0.9032400602808502,0.19519153745269638,1.3851823952558624,-0.9272105580795744,-0.9124639123180728,1.5583436342223935,0.2636263887617467,0.27133192891375413,-0.8792550483323667,-0.8824584160145285,-0.8827541648666499,-0.8787461246778133,-0.9035243391606451,-0.8591815444000236,-0.8898072765924715,-0.8977758938061026,-0.9108910728574297,-0.8717667602626019,-0.9078921542903257,1.485432899964954,-0.8736743492816762,-0.8728301104138289
dm4,-0.9108161297547354,0.23598479732244715,-0.9255787882255444,-0.8686219669277794,-0.9029808558118214,0.2845953530080153,1.4937654183438154,-0.8813052984784661,-2.4193575967583243,-0.9087878500629075,-0.8454415267472614,0.26889645205057366,-0.8578217132068516,-0.8554582977976164,-0.891139288925754,-0.8472013506067092,0.25282990540200806,0.24056155808455373,-0.866261271124591,0.19265382152145424,-0.8660595381491074,-0.86905037623147,-0.9120824944686772,-0.9098447622386034,-0.8526172202846102,0.23922877386804328,0.22461454589700622,-0.9058972818766163,-0.8943996490927425,-0.9098641360656556,-0.8540070088845784,-0.8973031986743857,-0.8843729976685337,-0.8768982491956213,-0.8806874219269093,0.2265240282573689,-0.9102737524451989,-0.883071135947349,0.2255026253630589,-0.8683376957424566,-0.892441320224581,-0.8478464456028705,-0.8713238288706009,-0.8902810301600538,-0.9075239436092357,-0.9111220268392913,-0.8707017542205824,-0.8779395837609287,0.2685968886215085,-0.8724028434733719,0.29603669306857955
vm2,1.3538704068091931,0.20272527062180484,-0.9325447947246803,0.2202264078252627,-0.8560113299982604,0.2791166271556242,-0.8787206457212372,-0.894179530136527,-0.9087878500629075,-1.8986852208718132,-0.9042414368330528,-0.8996980513357845,-0.864891515043497,-0.9035726142722342,-0.8477686546120184,-0.8921432785017136,0.2046486304036416,-0.8703893096403682,0.2817180849095055,0.25440379315684963,-0.887365539548204,-0.898637228373993,-0.898267761089603,-0.8873184778797479,-0.8588924421238721,2.6984170536771486,0.247947959163334,-0.9110889453281886,-0.9234241274419711,-0.8805488217885495,0.27964265818132383,0.23939672622727456,-0.8592230363088357,-0.942383156691822,-0.8887150397136524,1.391951227777704,-0.8898806119901496,-0.9075098310866426,1.3877159514259145,-0.8524344132345236,-0.8546525894098616,-0.8768215985651654,-0.8829568258211969,0.31703875630707107,-0.9006021037514386,-0.922165026600772,-0.8911392889257546,-0.9045340337332878,-0.8492848222748411,-0.8435042915371017,-0.8306047898594029
